home, homescore, awayscore, away, date, time
Aston Villa, 1, 0, Liverpool, Sunday 22 May 2011, 16:00
Bolton, 0, 2, Man City, Sunday 22 May 2011, 16:00
Everton, 1, 0, Chelsea, Sunday 22 May 2011, 16:00
Fulham, 2, 2, Arsenal, Sunday 22 May 2011, 16:00
Man Utd, 4, 2, Blackpool, Sunday 22 May 2011, 16:00
Newcastle, 3, 3, West Brom, Sunday 22 May 2011, 16:00
Stoke, 0, 1, Wigan, Sunday 22 May 2011, 16:00
Spurs, 2, 1, Birmingham, Sunday 22 May 2011, 16:00
West Ham, 0, 3, Sunderland, Sunday 22 May 2011, 16:00
Wolves, 2, 3, Blackburn, Sunday 22 May 2011, 16:00
Man City, 3, 0, Stoke, Tuesday 17 May 2011, 19:45
Arsenal, 1, 2, Aston Villa, Sunday 15 May 2011, 16:00
Birmingham, 0, 2, Fulham, Sunday 15 May 2011, 16:00
Liverpool, 0, 2, Spurs, Sunday 15 May 2011, 16:00
Wigan, 3, 2, West Ham, Sunday 15 May 2011, 16:00
Chelsea, 2, 2, Newcastle, Sunday 15 May 2011, 13:30
Blackburn, 1, 1, Man Utd, Saturday 14 May 2011, 12:45
Blackpool, 4, 3, Bolton, Saturday 14 May 2011, 12:45
Sunderland, 1, 3, Wolves, Saturday 14 May 2011, 12:45
West Brom, 1, 0, Everton, Saturday 14 May 2011, 12:45
Man City, 1, 0, Spurs, Tuesday 10 May 2011, 19:45
Fulham, 2, 5, Liverpool, Monday 9 May 2011, 20:00
Man Utd, 2, 1, Chelsea, Sunday 8 May 2011, 16:10
Stoke, 3, 1, Arsenal, Sunday 8 May 2011, 14:05
Wolves, 3, 1, West Brom, Sunday 8 May 2011, 12:00
Spurs, 1, 1, Blackpool, Saturday 7 May 2011, 17:30
Aston Villa, 1, 1, Wigan, Saturday 7 May 2011, 15:00
Bolton, 1, 2, Sunderland, Saturday 7 May 2011, 15:00
Everton, 2, 1, Man City, Saturday 7 May 2011, 15:00
Newcastle, 2, 1, Birmingham, Saturday 7 May 2011, 15:00
West Ham, 1, 1, Blackburn, Saturday 7 May 2011, 15:00
Man City, 2, 1, West Ham, Sunday 1 May 2011, 16:10
Arsenal, 1, 0, Man Utd, Sunday 1 May 2011, 14:05
Birmingham, 1, 1, Wolves, Sunday 1 May 2011, 12:00
Liverpool, 3, 0, Newcastle, Sunday 1 May 2011, 12:00
Chelsea, 2, 1, Spurs, Saturday 30 April 2011, 17:30
Blackburn, 1, 0, Bolton, Saturday 30 April 2011, 15:00
Blackpool, 0, 0, Stoke, Saturday 30 April 2011, 15:00
Sunderland, 0, 3, Fulham, Saturday 30 April 2011, 15:00
West Brom, 2, 1, Aston Villa, Saturday 30 April 2011, 15:00
Wigan, 1, 1, Everton, Saturday 30 April 2011, 15:00
Fulham, 3, 0, Bolton, Wednesday 27 April 2011, 20:00
Stoke, 3, 0, Wolves, Tuesday 26 April 2011, 19:45
Blackburn, 0, 1, Man City, Monday 25 April 2011, 20:00
Bolton, 2, 1, Arsenal, Sunday 24 April 2011, 16:00
Chelsea, 3, 0, West Ham, Saturday 23 April 2011, 17:30
Aston Villa, 1, 1, Stoke, Saturday 23 April 2011, 15:00
Blackpool, 1, 1, Newcastle, Saturday 23 April 2011, 15:00
Liverpool, 5, 0, Birmingham, Saturday 23 April 2011, 15:00
Sunderland, 4, 2, Wigan, Saturday 23 April 2011, 15:00
Spurs, 2, 2, West Brom, Saturday 23 April 2011, 15:00
Wolves, 1, 1, Fulham, Saturday 23 April 2011, 15:00
Man Utd, 1, 0, Everton, Saturday 23 April 2011, 12:45
Chelsea, 3, 1, Birmingham, Wednesday 20 April 2011, 19:45
Spurs, 3, 3, Arsenal, Wednesday 20 April 2011, 19:45
