home,homescore,awayscore,away,date,location
Liverpool,4,3,Swansea City,"Sunday, February 23, 2014","Anfield (44,731)"
Newcastle United,1,0,Aston Villa,"Sunday, February 23, 2014","St James' Park (50,417)"
Norwich City,1,0,Tottenham Hotspur,"Sunday, February 23, 2014","Carrow Road (26,834)"
Chelsea,1,0,Everton,"Saturday, February 22, 2014","Stamford Bridge (41,580)"
Arsenal,4,1,Sunderland,"Saturday, February 22, 2014","Emirates Stadium (60,012)"
Cardiff City,0,4,Hull City,"Saturday, February 22, 2014","Cardiff City Stadium (26,167)"
Manchester City,1,0,Stoke City,"Saturday, February 22, 2014","Etihad Stadium (47,038)"
West Bromwich Albion,1,1,Fulham,"Saturday, February 22, 2014","The Hawthorns (25,782)"
West Ham United,3,1,Southampton,"Saturday, February 22, 2014","Boleyn Ground (33,148)"
Crystal Palace,0,2,Manchester United,"Saturday, February 22, 2014","Selhurst Park  (24,571)"
Arsenal,0,0,Manchester United,"Wednesday, February 12, 2014","Emirates Stadium (60,021)"
Newcastle United,0,4,Tottenham Hotspur,"Wednesday, February 12, 2014","St James' Park (48,264)"
Fulham,2,3,Liverpool,"Wednesday, February 12, 2014","Craven Cottage (25,375)"
Stoke City,1,1,Swansea City,"Wednesday, February 12, 2014","Britannia Stadium (24,822)"
Cardiff City,0,0,Aston Villa,"Tuesday, February 11, 2014","Cardiff City Stadium (27,597)"
Hull City,0,1,Southampton,"Tuesday, February 11, 2014","The KC Stadium (23,670)"
West Ham United,2,0,Norwich City,"Tuesday, February 11, 2014","Boleyn Ground (35,153)"
West Bromwich Albion,1,1,Chelsea,"Tuesday, February 11, 2014","The Hawthorns (24,327)"
Tottenham Hotspur,1,0,Everton,"Sunday, February 9, 2014","White Hart Lane (35,944)"
Manchester United,2,2,Fulham,"Sunday, February 9, 2014","Old Trafford (74,966)"
Liverpool,5,1,Arsenal,"Saturday, February 8, 2014","Anfield (44,701)"
Aston Villa,0,2,West Ham United,"Saturday, February 8, 2014","Villa Park (36,261)"
Chelsea,3,0,Newcastle United,"Saturday, February 8, 2014","Stamford Bridge (41,387)"
Crystal Palace,3,1,West Bromwich Albion,"Saturday, February 8, 2014","Selhurst Park  (24,501)"
Norwich City,0,0,Manchester City,"Saturday, February 8, 2014","Carrow Road (26,832)"
Southampton,2,2,Stoke City,"Saturday, February 8, 2014","St. Mary's Stadium (27,987)"
Sunderland,0,2,Hull City,"Saturday, February 8, 2014","Stadium of Light (42,810)"
Swansea City,3,0,Cardiff City,"Saturday, February 8, 2014","Liberty Stadium (20,402)"
Manchester City,0,1,Chelsea,"Monday, February 3, 2014","Etihad Stadium (47,364)"
West Bromwich Albion,1,1,Liverpool,"Sunday, February 2, 2014","The Hawthorns (26,132)"
Arsenal,2,0,Crystal Palace,"Sunday, February 2, 2014","Emirates Stadium (60,005)"
Newcastle United,0,3,Sunderland,"Saturday, February 1, 2014","St James' Park (52,280)"
West Ham United,2,0,Swansea City,"Saturday, February 1, 2014","Boleyn Ground (31,848)"
Cardiff City,2,1,Norwich City,"Saturday, February 1, 2014","Cardiff City Stadium (26,748)"
Everton,2,1,Aston Villa,"Saturday, February 1, 2014","Goodison Park (39,469)"
Fulham,0,3,Southampton,"Saturday, February 1, 2014","Craven Cottage (25,700)"
Hull City,1,1,Tottenham Hotspur,"Saturday, February 1, 2014","The KC Stadium (24,932)"
Stoke City,2,1,Manchester United,"Saturday, February 1, 2014","Britannia Stadium (26,547)"
Aston Villa,4,3,West Bromwich Albion,"Wednesday, January 29, 2014","Villa Park (36,083)"
Chelsea,0,0,West Ham United,"Wednesday, January 29, 2014","Stamford Bridge (41,376)"
Sunderland,1,0,Stoke City,"Wednesday, January 29, 2014","Stadium of Light (34,745)"
Tottenham Hotspur,1,5,Manchester City,"Wednesday, January 29, 2014","White Hart Lane (36,071)"
Manchester United,2,0,Cardiff City,"Tuesday, January 28, 2014","Old Trafford (75,301)"
Norwich City,0,0,Newcastle United,"Tuesday, January 28, 2014","Carrow Road (26,762)"
Southampton,2,2,Arsenal,"Tuesday, January 28, 2014","St. Mary's Stadium (31,284)"
Swansea City,2,0,Fulham,"Tuesday, January 28, 2014","Liberty Stadium (20,004)"
Crystal Palace,1,0,Hull City,"Tuesday, January 28, 2014","Selhurst Park  (22,519)"
Liverpool,4,0,Everton,"Tuesday, January 28, 2014","Anfield (44,450)"
West Bromwich Albion,1,1,Everton,"Monday, January 20, 2014","The Hawthorns (24,184)"
Swansea City,1,3,Tottenham Hotspur,"Sunday, January 19, 2014","Liberty Stadium (20,769)"
Chelsea,3,1,Manchester United,"Sunday, January 19, 2014","Stamford Bridge (41,615)"
Sunderland,2,2,Southampton,"Saturday, January 18, 2014","Stadium of Light (38,115)"
Arsenal,2,0,Fulham,"Saturday, January 18, 2014","Emirates Stadium (60,000)"
Crystal Palace,1,0,Stoke City,"Saturday, January 18, 2014","Selhurst Park  (24,440)"
Manchester City,4,2,Cardiff City,"Saturday, January 18, 2014","Etihad Stadium (47,213)"
Norwich City,1,0,Hull City,"Saturday, January 18, 2014","Carrow Road (26,655)"
West Ham United,1,3,Newcastle United,"Saturday, January 18, 2014","Boleyn Ground (33,343)"
Liverpool,2,2,Aston Villa,"Saturday, January 18, 2014","Anfield (44,737)"
Aston Villa,1,2,Arsenal,"Monday, January 13, 2014","Villa Park (36,097)"
Newcastle United,0,2,Manchester City,"Sunday, January 12, 2014","St James' Park (49,423)"
Stoke City,3,5,Liverpool,"Sunday, January 12, 2014","Britannia Stadium (27,160)"
Hull City,0,2,Chelsea,"Saturday, January 11, 2014","The KC Stadium (24,924)"
Cardiff City,0,2,West Ham United,"Saturday, January 11, 2014","Cardiff City Stadium (27,750)"
Everton,2,0,Norwich City,"Saturday, January 11, 2014","Goodison Park (36,827)"
Fulham,1,4,Sunderland,"Saturday, January 11, 2014","Craven Cottage (25,564)"
Southampton,1,0,West Bromwich Albion,"Saturday, January 11, 2014","St. Mary's Stadium (28,610)"
Tottenham Hotspur,2,0,Crystal Palace,"Saturday, January 11, 2014","White Hart Lane (36,102)"
Manchester United,2,0,Swansea City,"Saturday, January 11, 2014","Old Trafford (75,035)"
Swansea City,2,3,Manchester City,"Wednesday, January 1, 2014","Liberty Stadium (20,498)"
Arsenal,2,0,Cardiff City,"Wednesday, January 1, 2014","Emirates Stadium (60,004)"
Crystal Palace,1,1,Norwich City,"Wednesday, January 1, 2014","Selhurst Park  (25,189)"
Fulham,2,1,West Ham United,"Wednesday, January 1, 2014","Craven Cottage (25,335)"
Liverpool,2,0,Hull City,"Wednesday, January 1, 2014","Anfield (44,627)"
Southampton,0,3,Chelsea,"Wednesday, January 1, 2014","St. Mary's Stadium (31,271)"
Stoke City,1,1,Everton,"Wednesday, January 1, 2014","Britannia Stadium (25,832)"
Sunderland,0,1,Aston Villa,"Wednesday, January 1, 2014","Stadium of Light (39,757)"
West Bromwich Albion,1,0,Newcastle United,"Wednesday, January 1, 2014","The Hawthorns (26,430)"
Manchester United,1,2,Tottenham Hotspur,"Wednesday, January 1, 2014","Old Trafford (75,265)"
Everton,2,1,Southampton,"Sunday, December 29, 2013","Goodison Park (39,092)"
Newcastle United,0,1,Arsenal,"Sunday, December 29, 2013","St James' Park (52,161)"
Chelsea,2,1,Liverpool,"Sunday, December 29, 2013","Stamford Bridge (41,614)"
Tottenham Hotspur,3,0,Stoke City,"Sunday, December 29, 2013","White Hart Lane (36,072)"
West Ham United,3,3,West Bromwich Albion,"Saturday, December 28, 2013","Boleyn Ground (34,946)"
Aston Villa,1,1,Swansea City,"Saturday, December 28, 2013","Villa Park (37,028)"
Hull City,6,0,Fulham,"Saturday, December 28, 2013","The KC Stadium (23,925)"
Manchester City,1,0,Crystal Palace,"Saturday, December 28, 2013","Etihad Stadium (47,107)"
Norwich City,0,1,Manchester United,"Saturday, December 28, 2013","Carrow Road (26,851)"
Cardiff City,2,2,Sunderland,"Saturday, December 28, 2013","Cardiff City Stadium (27,247)"
Hull City,2,3,Manchester United,"Thursday, December 26, 2013","The KC Stadium (24,826)"
Aston Villa,0,1,Crystal Palace,"Thursday, December 26, 2013","Villa Park (37,752)"
Cardiff City,0,3,Southampton,"Thursday, December 26, 2013","Cardiff City Stadium (27,929)"
Chelsea,1,0,Swansea City,"Thursday, December 26, 2013","Stamford Bridge (41,111)"
Everton,0,1,Sunderland,"Thursday, December 26, 2013","Goodison Park (39,193)"
Newcastle United,5,1,Stoke City,"Thursday, December 26, 2013","St James' Park (51,665)"
Norwich City,1,2,Fulham,"Thursday, December 26, 2013","Carrow Road (26,811)"
Tottenham Hotspur,1,1,West Bromwich Albion,"Thursday, December 26, 2013","White Hart Lane (35,545)"
West Ham United,1,3,Arsenal,"Thursday, December 26, 2013","Boleyn Ground (34,977)"
Manchester City,2,1,Liverpool,"Thursday, December 26, 2013","Etihad Stadium (47,351)"
Arsenal,0,0,Chelsea,"Monday, December 23, 2013","Emirates Stadium (60,039)"
