home, homescore, awayscore, away, date, group
Bayer Leverkusen, 2, 0, VfB Stuttgart, "Saturday, May 22, 2004", "BayArena (22,500)"
Bayern Munich, 2, 0, SC Freiburg, "Saturday, May 22, 2004", "Olympiastadion (63,000)"
Borussia Monchengladbach, 3, 1, TSV 1860 Munich, "Saturday, May 22, 2004", "Stadium Bokelberg (34,500)"
Hamburg SV, 2, 1, Eintracht Frankfurt, "Saturday, May 22, 2004", "Volksparkstadion (52,854)"
Hansa Rostock, 3, 1, Werder Bremen, "Saturday, May 22, 2004", "Ostseestadion (30,000)"
Hertha Berlin, 3, 1, FC Cologne, "Saturday, May 22, 2004", "Olympia Stadium (56,000)"
Kaiserslautern, 1, 1, Borussia Dortmund, "Saturday, May 22, 2004", "Fritz-Walter Stadion (47,315)"
VfL Bochum, 3, 1, Hannover 96, "Saturday, May 22, 2004", "Ruhr Stadium (32,645)"
VfL Wolfsburg, 1, 1, Schalke 04, "Saturday, May 22, 2004", "Volkswagen Arena (30,000)"
Borussia Dortmund, 3, 1, Borussia Monchengladbach, "Saturday, May 15, 2004", "Westfalenstadion (82,500)"
Eintracht Frankfurt, 3, 2, VfL Bochum, "Saturday, May 15, 2004", "Waldstadion (32,000)"
FC Cologne, 4, 0, Hansa Rostock, "Saturday, May 15, 2004", "Mungersdorfer Stadion (40,000)"
Hannover 96, 0, 0, VfL Wolfsburg, "Saturday, May 15, 2004", "Niedersachsenstadion (27,537)"
SC Freiburg, 0, 0, Hamburg SV, "Saturday, May 15, 2004", "Dreisamstadion  (25,000)"
Schalke 04, 4, 1, Kaiserslautern, "Saturday, May 15, 2004", "Arena Auf Schalke (61,266)"
TSV 1860 Munich, 1, 1, Hertha Berlin, "Saturday, May 15, 2004", "Olympiastadion (48,000)"
VfB Stuttgart, 3, 1, Bayern Munich, "Saturday, May 15, 2004", "Gottlieb-Daimler Stadion (48,000)"
Werder Bremen, 2, 6, Bayer Leverkusen, "Saturday, May 15, 2004", "Weserstadion (42,500)"
