home, homescore, awayscore, away, date, stadium
Arminia Bielefeld, 1, 2, VfL Wolfsburg, "Saturday, May 21, 2005"," Schuco-Arena (22,112)"
Bayer Leverkusen, 5, 1, Borussia Monchengladbach, "Saturday, May 21, 2005"," BayArena (22,500)"
Borussia Dortmund, 2, 1, Hansa Rostock, "Saturday, May 21, 2005"," Westfalenstadion (80,400)"
Hamburg SV, 0, 1, VfL Bochum, "Saturday, May 21, 2005"," AOL-Arena (55,800)"
Hertha Berlin, 0, 0, Hannover 96, "Saturday, May 21, 2005"," Olympiastadion (74,500)"
Kaiserslautern, 1, 2, Werder Bremen, "Saturday, May 21, 2005"," Fritz-Walter Stadion (40,750)"
Nurnberg, 1, 2, Mainz, "Saturday, May 21, 2005"," Frankenstadion (41,886)"
SC Freiburg, 2, 3, Schalke 04, "Saturday, May 21, 2005"," badenova-Stadion (24,500)"
VfB Stuttgart, 1, 3, Bayern Munich, "Saturday, May 21, 2005"," Gottlieb-Daimler Stadion (48,500)"
Bayern Munich, 6, 3, Nurnberg, "Saturday, May 14, 2005"," Olympiastadion (63,000)"
Borussia Monchengladbach, 0, 0, Hertha Berlin, "Saturday, May 14, 2005"," Borussia-Park (24,771)"
Hannover 96, 2, 1, Hamburg SV, "Saturday, May 14, 2005"," AWD-Arena (49,854)"
Hansa Rostock, 1, 1, Arminia Bielefeld, "Saturday, May 14, 2005"," Ostseestadion (21,000)"
Mainz, 3, 2, Kaiserslautern, "Saturday, May 14, 2005"," Stadion am Bruchweg (20,300)"
Schalke 04, 1, 2, Borussia Dortmund, "Saturday, May 14, 2005"," Arena AufSchalke (61,524)"
VfL Bochum, 2, 0, VfB Stuttgart, "Saturday, May 14, 2005"," Ruhrstadion (30,980)"
VfL Wolfsburg, 2, 2, Bayer Leverkusen, "Saturday, May 14, 2005"," Volkswagen Arena (25,000)"
Werder Bremen, 4, 1, SC Freiburg, "Saturday, May 14, 2005"," Weserstadion (39,650)"
Borussia Dortmund, 1, 0, Werder Bremen, "Sunday, May 8, 2005"," Westfalenstadion (82,000)"
Hamburg SV, 0, 0, Borussia Monchengladbach, "Sunday, May 8, 2005"," AOL-Arena (52,648)"
Arminia Bielefeld, 0, 2, Schalke 04, "Saturday, May 7, 2005"," Schuco-Arena (26,601)"
Bayer Leverkusen, 3, 0, Hansa Rostock, "Saturday, May 7, 2005"," BayArena (22,500)"
Hertha Berlin, 3, 1, VfL Wolfsburg, "Saturday, May 7, 2005"," Olympiastadion (60,000)"
Mainz, 2, 4, Bayern Munich, "Saturday, May 7, 2005"," Stadion am Bruchweg (22,300)"
Nurnberg, 2, 1, VfL Bochum, "Saturday, May 7, 2005"," Frankenstadion (44,650)"
SC Freiburg, 1, 2, Kaiserslautern, "Saturday, May 7, 2005"," badenova-Stadion (21,000)"
VfB Stuttgart, 1, 0, Hannover 96, "Saturday, May 7, 2005"," Gottlieb-Daimler Stadion (45,000)"
Hannover 96, 1, 0, Nurnberg, "Sunday, May 1, 2005"," AWD-Arena (30,017)"
VfL Wolfsburg, 1, 0, Hamburg SV, "Sunday, May 1, 2005"," Volkswagen Arena (27,996)"
Borussia Monchengladbach, 2, 0, VfB Stuttgart, "Saturday, April 30, 2005"," Borussia-Park (53,466)"
Hansa Rostock, 2, 1, Hertha Berlin, "Saturday, April 30, 2005"," Ostseestadion (25,100)"
Kaiserslautern, 0, 4, Bayern Munich, "Saturday, April 30, 2005"," Fritz-Walter Stadion (40,200)"
SC Freiburg, 2, 2, Borussia Dortmund, "Saturday, April 30, 2005"," badenova-Stadion (25,000)"
Schalke 04, 3, 3, Bayer Leverkusen, "Saturday, April 30, 2005"," Arena AufSchalke (61,524)"
VfL Bochum, 2, 6, Mainz, "Saturday, April 30, 2005"," Ruhrstadion (30,000)"
Werder Bremen, 3, 0, Arminia Bielefeld, "Saturday, April 30, 2005"," Weserstadion (39,952)"
Bayer Leverkusen, 2, 1, Werder Bremen, "Sunday, April 24, 2005"," BayArena (22,500)"
Nurnberg, 0, 0, Borussia Monchengladbach, "Sunday, April 24, 2005"," Frankenstadion (43,019)"
Arminia Bielefeld, 3, 1, SC Freiburg, "Saturday, April 23, 2005"," Schuco-Arena (16,811)"
Bayern Munich, 3, 1, VfL Bochum, "Saturday, April 23, 2005"," Olympiastadion (63,000)"
Borussia Dortmund, 4, 2, Kaiserslautern, "Saturday, April 23, 2005"," Westfalenstadion (79,000)"
Hamburg SV, 3, 0, Hansa Rostock, "Saturday, April 23, 2005"," AOL-Arena (55,500)"
Hertha Berlin, 4, 1, Schalke 04, "Saturday, April 23, 2005"," Olympiastadion (74,500)"
Mainz, 2, 0, Hannover 96, "Saturday, April 23, 2005"," Stadion am Bruchweg (23,000)"
VfB Stuttgart, 0, 0, VfL Wolfsburg, "Saturday, April 23, 2005"," Gottlieb-Daimler Stadion (45,000)"
Kaiserslautern, 1, 2, VfL Bochum, "Sunday, April 17, 2005"," Fritz-Walter Stadion (33,512)"
VfL Wolfsburg, 0, 1, Nurnberg, "Sunday, April 17, 2005"," Volkswagen Arena (19,276)"
Borussia Dortmund, 1, 1, Arminia Bielefeld, "Saturday, April 16, 2005"," Westfalenstadion (79,000)"
Borussia Monchengladbach, 1, 1, Mainz, "Saturday, April 16, 2005"," Borussia-Park (53,000)"
Hannover 96, 0, 1, Bayern Munich, "Saturday, April 16, 2005"," AWD-Arena (49,854)"
Hansa Rostock, 2, 1, VfB Stuttgart, "Saturday, April 16, 2005"," Ostseestadion (20,500)"
SC Freiburg, 1, 3, Bayer Leverkusen, "Saturday, April 16, 2005"," badenova-Stadion (22,000)"
Schalke 04, 1, 2, Hamburg SV, "Saturday, April 16, 2005"," Arena AufSchalke (61,524)"
Werder Bremen, 0, 1, Hertha Berlin, "Saturday, April 16, 2005"," Weserstadion (41,453)"
Arminia Bielefeld, 0, 2, Kaiserslautern, "Sunday, April 10, 2005"," Schuco-Arena (21,500)"
Nurnberg, 3, 0, Hansa Rostock, "Sunday, April 10, 2005"," Frankenstadion (32,885)"
Bayer Leverkusen, 0, 1, Borussia Dortmund, "Saturday, April 9, 2005"," BayArena (22,500)"
Bayern Munich, 2, 1, Borussia Monchengladbach, "Saturday, April 9, 2005"," Olympiastadion (63,000)"
Hamburg SV, 1, 2, Werder Bremen, "Saturday, April 9, 2005"," AOL-Arena (55,500)"
