Bayern Munich, 3, 3, Borussia Dortmund, "Saturday, May 13, 2006"," Allianz Arena (69,000)"
Eintracht Frankfurt, 0, 2, Borussia Monchengladbach, "Saturday, May 13, 2006"," Waldstadion (50,000)"
FC Cologne, 4, 2, Arminia Bielefeld, "Saturday, May 13, 2006"," Rhein Energie Stadion (49,000)"
Hamburg SV, 1, 2, Werder Bremen, "Saturday, May 13, 2006"," AOL-Arena (57,000)"
Hannover 96, 2, 2, Bayer Leverkusen, "Saturday, May 13, 2006"," AWD-Arena (37,387)"
MSV Duisburg, 0, 0, Mainz, "Saturday, May 13, 2006"," Wedaustadion (27,100)"
Nurnberg, 2, 1, Hertha Berlin, "Saturday, May 13, 2006"," Frankenstadion (45,817)"
Schalke 04, 3, 2, VfB Stuttgart, "Saturday, May 13, 2006"," Arena AufSchalke (61,000)"
VfL Wolfsburg, 2, 2, Kaiserslautern, "Saturday, May 13, 2006"," Volkswagen Arena (30,000)"
Arminia Bielefeld, 0, 2, MSV Duisburg, "Saturday, May 6, 2006"," Schuco-Arena (19,452)"
Bayer Leverkusen, 2, 2, Nurnberg, "Saturday, May 6, 2006"," BayArena (22,500)"
Borussia Dortmund, 1, 1, Eintracht Frankfurt, "Saturday, May 6, 2006"," Signal Iduna Park (80,000)"
Borussia Monchengladbach, 2, 2, Hannover 96, "Saturday, May 6, 2006"," Borussia-Park (51,498)"
Hertha Berlin, 4, 2, Hamburg SV, "Saturday, May 6, 2006"," Olympiastadion (74,000)"
Kaiserslautern, 1, 1, Bayern Munich, "Saturday, May 6, 2006"," Fritz-Walter Stadion "
Mainz, 1, 0, Schalke 04, "Saturday, May 6, 2006"," Stadion am Bruchweg (20,300)"
VfB Stuttgart, 2, 1, VfL Wolfsburg, "Saturday, May 6, 2006"," Gottlieb-Daimler Stadion (31,000)"
Werder Bremen, 6, 0, FC Cologne, "Saturday, May 6, 2006"," Weserstadion (42,000)"
Bayern Munich, 3, 1, VfB Stuttgart, "Wednesday, May 3, 2006"," Allianz Arena (69,000)"
Eintracht Frankfurt, 2, 2, Kaiserslautern, "Wednesday, May 3, 2006"," Waldstadion (50,000)"
MSV Duisburg, 3, 5, Werder Bremen, "Wednesday, May 3, 2006"," Wedaustadion (23,100)"
Schalke 04, 3, 1, Arminia Bielefeld, "Wednesday, May 3, 2006"," Arena AufSchalke (61,000)"
VfL Wolfsburg, 0, 3, Mainz, "Wednesday, May 3, 2006"," Volkswagen Arena (23,885)"
FC Cologne, 0, 1, Hamburg SV, "Tuesday, May 2, 2006"," Rhein Energie Stadion (15,000)"
Hannover 96, 1, 2, Borussia Dortmund, "Tuesday, May 2, 2006"," AWD-Arena (41,387)"
Hertha Berlin, 1, 5, Bayer Leverkusen, "Tuesday, May 2, 2006"," Olympiastadion (51,324)"
Nurnberg, 5, 2, Borussia Monchengladbach, "Tuesday, May 2, 2006"," Frankenstadion (42,291)"
Mainz, 2, 2, Bayern Munich, "Sunday, April 23, 2006"," Stadion am Bruchweg (20,300)"
Werder Bremen, 0, 0, Schalke 04, "Sunday, April 23, 2006"," Weserstadion (42,100)"
Arminia Bielefeld, 0, 1, VfL Wolfsburg, "Saturday, April 22, 2006"," Schuco-Arena "
Borussia Dortmund, 2, 1, Nurnberg, "Saturday, April 22, 2006"," Signal Iduna Park (70,000)"
Borussia Monchengladbach, 2, 2, Hertha Berlin, "Saturday, April 22, 2006"," Borussia-Park (50,216)"
FC Cologne, 3, 1, MSV Duisburg, "Saturday, April 22, 2006"," Rhein Energie Stadion (50,000)"
Hamburg SV, 0, 2, Bayer Leverkusen, "Saturday, April 22, 2006"," AOL-Arena (57,000)"
Kaiserslautern, 1, 0, Hannover 96, "Saturday, April 22, 2006"," Fritz-Walter Stadion (35,325)"
VfB Stuttgart, 0, 2, Eintracht Frankfurt, "Saturday, April 22, 2006"," Gottlieb-Daimler Stadion (56,000)"
Hannover 96, 3, 3, VfB Stuttgart, "Sunday, April 16, 2006"," AWD-Arena (36,298)"
Nurnberg, 3, 2, Kaiserslautern, "Sunday, April 16, 2006"," Frankenstadion (47,250)"
Bayer Leverkusen, 2, 1, Borussia Monchengladbach, "Saturday, April 15, 2006"," BayArena (22,500)"
Bayern Munich, 2, 0, Arminia Bielefeld, "Saturday, April 15, 2006"," Allianz Arena (69,000)"
Eintracht Frankfurt, 0, 0, Mainz, "Saturday, April 15, 2006"," Waldstadion (50,000)"
Hertha Berlin, 0, 0, Borussia Dortmund, "Saturday, April 15, 2006"," Olympiastadion "
