home, homescore, awayscore, away, date, group
FC Augsburg, 0, 2, Nurnberg, "Sunday, May 16, 2010", SGL Arena (30,660)
Nurnberg, 1, 0, FC Augsburg, "Thursday, May 13, 2010", Grundig Stadion (40,509)
Borussia Monchengladbach, 1, 1, Bayer Leverkusen, "Saturday, May 8, 2010", Borussia-Park (54,057)
Hertha Berlin, 1, 3, Bayern Munich, "Saturday, May 8, 2010", Olympiastadion (75,420)
Mainz, 0, 0, Schalke 04, "Saturday, May 8, 2010", Stadion am Bruchweg (20,300)
Nurnberg, 1, 0, FC Cologne, "Saturday, May 8, 2010", EasyCredit-Stadion (48,548)
SC Freiburg, 3, 1, Borussia Dortmund, "Saturday, May 8, 2010", badenova-Stadion (24,000)
TSG Hoffenheim, 1, 1, VfB Stuttgart, "Saturday, May 8, 2010", Rhein-Neckar-Arena (30,400)
VfL Bochum, 0, 3, Hannover 96, "Saturday, May 8, 2010", rewirpowerSTADION (30,748)
VfL Wolfsburg, 3, 1, Eintracht Frankfurt, "Saturday, May 8, 2010", Volkswagen Arena (30,000)
Werder Bremen, 1, 1, Hamburg SV, "Saturday, May 8, 2010", Weserstadion (41,150)
Bayer Leverkusen, 1, 1, Hertha Berlin, "Saturday, May 1, 2010", BayArena (30,210)
Bayern Munich, 3, 1, VfL Bochum, "Saturday, May 1, 2010", Allianz Arena (69,000)
Borussia Dortmund, 1, 1, VfL Wolfsburg, "Saturday, May 1, 2010", Signal Iduna Park (80,300)
Eintracht Frankfurt, 1, 2, TSG Hoffenheim, "Saturday, May 1, 2010", Commerzbank Arena (50,500)
FC Cologne, 2, 2, SC Freiburg, "Saturday, May 1, 2010", RheinEnergieStadion (49,200)
Hamburg SV, 4, 0, Nurnberg, "Saturday, May 1, 2010", Imtech Arena (53,727)
Hannover 96, 6, 1, Borussia Monchengladbach, "Saturday, May 1, 2010", AWD-Arena (49,000)
Schalke 04, 0, 2, Werder Bremen, "Saturday, May 1, 2010", Veltins-Arena (61,673)
VfB Stuttgart, 2, 2, Mainz, "Saturday, May 1, 2010", Mercedes-Benz Arena (41,600)
TSG Hoffenheim, 5, 1, Hamburg SV, "Sunday, April 25, 2010", Rhein-Neckar-Arena (30,150)
SC Freiburg, 1, 0, VfL Wolfsburg, "Sunday, April 25, 2010", badenova-Stadion (22,700)
Bayer Leverkusen, 3, 0, Hannover 96, "Saturday, April 24, 2010", BayArena (30,210)
Borussia Monchengladbach, 1, 1, Bayern Munich, "Saturday, April 24, 2010", Borussia-Park (54,057)
Hertha Berlin, 0, 1, Schalke 04, "Saturday, April 24, 2010", Olympiastadion (61,902)
Mainz, 3, 3, Eintracht Frankfurt, "Saturday, April 24, 2010", Stadion am Bruchweg (20,300)
Nurnberg, 2, 3, Borussia Dortmund, "Saturday, April 24, 2010", EasyCredit-Stadion (48,548)
Werder Bremen, 1, 0, FC Cologne, "Saturday, April 24, 2010", Weserstadion (36,000)
VfL Bochum, 0, 2, VfB Stuttgart, "Friday, April 23, 2010", rewirpowerSTADION (25,431)
Borussia Dortmund, 1, 1, TSG Hoffenheim, "Sunday, April 18, 2010", Signal Iduna Park (80,100)
Eintracht Frankfurt, 2, 2, Hertha Berlin, "Sunday, April 18, 2010", Commerzbank Arena (49,800)
Hamburg SV, 0, 1, Mainz, "Saturday, April 17, 2010", Imtech Arena (55,292)
SC Freiburg, 2, 1, Nurnberg, "Saturday, April 17, 2010", badenova-Stadion (24,000)
Schalke 04, 3, 1, Borussia Monchengladbach, "Saturday, April 17, 2010", Veltins-Arena (61,673)
VfB Stuttgart, 2, 1, Bayer Leverkusen, "Saturday, April 17, 2010", Mercedes-Benz Arena (41,500)
VfL Wolfsburg, 2, 4, Werder Bremen, "Saturday, April 17, 2010", Volkswagen Arena (30,000)
Bayern Munich, 7, 0, Hannover 96, "Saturday, April 17, 2010", Allianz Arena (69,000)
FC Cologne, 2, 0, VfL Bochum, "Friday, April 16, 2010", RheinEnergieStadion (46,000)
VfL Bochum, 1, 2, Hamburg SV, "Sunday, April 11, 2010", rewirpowerSTADION (25,780)
Nurnberg, 0, 2, VfL Wolfsburg, "Sunday, April 11, 2010", EasyCredit-Stadion (40,593)
Hannover 96, 4, 2, Schalke 04, "Saturday, April 10, 2010", AWD-Arena (49,000)
Hertha Berlin, 0, 1, VfB Stuttgart, "Saturday, April 10, 2010", Olympiastadion (26,851)
Mainz, 1, 0, Borussia Dortmund, "Saturday, April 10, 2010", Stadion am Bruchweg (20,300)
TSG Hoffenheim, 0, 2, FC Cologne, "Saturday, April 10, 2010", Rhein-Neckar-Arena (26,950)
Werder Bremen, 4, 0, SC Freiburg, "Saturday, April 10, 2010", Weserstadion (37,000)
Bayer Leverkusen, 1, 1, Bayern Munich, "Saturday, April 10, 2010", BayArena (30,200)
Borussia Monchengladbach, 2, 0, Eintracht Frankfurt, "Friday, April 9, 2010", Borussia-Park (45,000)
VfL Wolfsburg, 4, 0, TSG Hoffenheim, "Sunday, April 4, 2010", Volkswagen Arena (28,107)
Hamburg SV, 0, 0, Hannover 96, "Sunday, April 4, 2010", Imtech Arena (57,000)
Borussia Dortmund, 2, 1, Werder Bremen, "Saturday, April 3, 2010", Signal Iduna Park (80,552)
Eintracht Frankfurt, 3, 2, Bayer Leverkusen, "Saturday, April 3, 2010", Commerzbank Arena (50,900)
Nurnberg, 2, 0, Mainz, "Saturday, April 3, 2010", EasyCredit-Stadion (41,222)
SC Freiburg, 1, 1, VfL Bochum, "Saturday, April 3, 2010", badenova-Stadion (21,500)
Schalke 04, 1, 2, Bayern Munich, "Saturday, April 3, 2010", Veltins-Arena (61,673)
