home,homescore,awayscore,away,date,location
Hamburg SV,2,1,Nurnberg,"Sunday, March 16, 2014","Imtech Arena (52,183)"
Eintracht Frankfurt,1,4,SC Freiburg,"Sunday, March 16, 2014","Commerzbank Arena (45,400)"
Borussia Dortmund,1,2,Borussia Monchengladbach,"Saturday, March 15, 2014","Signal Iduna Park (80,645)"
Hertha Berlin,0,3,Hannover 96,"Saturday, March 15, 2014","Olympiastadion (46,727)"
TSG Hoffenheim,2,4,Mainz,"Saturday, March 15, 2014","Rhein-Neckar Arena (24,741)"
TSV Eintracht Braunschweig,1,1,VfL Wolfsburg,"Saturday, March 15, 2014","Eintracht-Stadion (23,150)"
Werder Bremen,1,1,VfB Stuttgart,"Saturday, March 15, 2014","Weserstadion (41,500)"
Bayern Munich,2,1,Bayer Leverkusen,"Saturday, March 15, 2014","Allianz Arena (71,000)"
FC Augsburg,1,2,Schalke 04,"Friday, March 14, 2014","impuls arena (30,660)"
SC Freiburg,0,1,Borussia Dortmund,"Sunday, March 9, 2014","MAGE SOLAR Stadion (24,000)"
Mainz,1,1,Hertha Berlin,"Sunday, March 9, 2014","Coface Arena (29,760)"
Borussia Monchengladbach,1,2,FC Augsburg,"Saturday, March 8, 2014","Borussia Park (49,622)"
Hamburg SV,1,1,Eintracht Frankfurt,"Saturday, March 8, 2014","Imtech Arena (51,191)"
Hannover 96,1,1,Bayer Leverkusen,"Saturday, March 8, 2014","AWD-Arena (46,600)"
Schalke 04,4,0,TSG Hoffenheim,"Saturday, March 8, 2014","Veltins Arena (60,604)"
VfB Stuttgart,2,2,TSV Eintracht Braunschweig,"Saturday, March 8, 2014","Mercedes-Benz Arena (59,000)"
VfL Wolfsburg,1,6,Bayern Munich,"Saturday, March 8, 2014","Volkswagen Arena (30,000)"
Nurnberg,0,2,Werder Bremen,"Saturday, March 8, 2014","easyCredit Stadion (40,608)"
TSG Hoffenheim,6,2,VfL Wolfsburg,"Sunday, March 2, 2014","Rhein-Neckar Arena (24,519)"
Eintracht Frankfurt,2,1,VfB Stuttgart,"Sunday, March 2, 2014","Commerzbank Arena (43,200)"
Bayer Leverkusen,0,1,Mainz,"Saturday, March 1, 2014","BayArena (25,503)"
Borussia Dortmund,3,0,Nurnberg,"Saturday, March 1, 2014","Signal Iduna Park (80,645)"
FC Augsburg,1,1,Hannover 96,"Saturday, March 1, 2014","impuls arena (28,311)"
TSV Eintracht Braunschweig,1,1,Borussia Monchengladbach,"Saturday, March 1, 2014","Eintracht-Stadion (23,200)"
Werder Bremen,1,0,Hamburg SV,"Saturday, March 1, 2014","Weserstadion (42,100)"
Bayern Munich,5,1,Schalke 04,"Saturday, March 1, 2014","Allianz Arena (71,000)"
Hertha Berlin,0,0,SC Freiburg,"Friday, February 28, 2014","Olympiastadion (37,920)"
Eintracht Frankfurt,0,0,Werder Bremen,"Sunday, February 23, 2014","Commerzbank Arena (44,300)"
Hannover 96,0,4,Bayern Munich,"Sunday, February 23, 2014","AWD-Arena (49,000)"
Borussia Monchengladbach,2,2,TSG Hoffenheim,"Saturday, February 22, 2014","Borussia Park (49,088)"
Hamburg SV,3,0,Borussia Dortmund,"Saturday, February 22, 2014","Imtech Arena (57,000)"
Nurnberg,2,1,TSV Eintracht Braunschweig,"Saturday, February 22, 2014","easyCredit Stadion (36,657)"
SC Freiburg,2,4,FC Augsburg,"Saturday, February 22, 2014","MAGE SOLAR Stadion (22,000)"
VfB Stuttgart,1,2,Hertha Berlin,"Saturday, February 22, 2014","Mercedes-Benz Arena (45,700)"
VfL Wolfsburg,3,1,Bayer Leverkusen,"Saturday, February 22, 2014","Volkswagen Arena (27,721)"
Schalke 04,0,0,Mainz,"Friday, February 21, 2014","Veltins Arena (60,952)"
FC Augsburg,0,1,Nurnberg,"Sunday, February 16, 2014","impuls arena (30,660)"
Hertha Berlin,1,2,VfL Wolfsburg,"Sunday, February 16, 2014","Olympiastadion (40,648)"
