home, homescore, awayscore, away, date, group
Barcelona, 3, 1, Manchester United, Saturday, May 28, 2011, Final
Manchester United, 4, 1, Schalke 04, Wednesday, May 4, 2011, Semi-finals
Barcelona, 1, 1, Real Madrid, Tuesday, May 3, 2011, Semi-finals
Real Madrid, 0, 2, Barcelona, Wednesday, April 27, 2011, Semi-finals
Schalke 04, 0, 2, Manchester United, Tuesday, April 26, 2011, Semi-finals
Schalke 04, 2, 1, Internazionale, Wednesday, April 13, 2011, Quarter-finals
Tottenham Hotspur, 0, 1, Real Madrid, Wednesday, April 13, 2011, Quarter-finals
Manchester United, 2, 1, Chelsea, Tuesday, April 12, 2011, Quarter-finals
Shakhtar Donetsk, 0, 1, Barcelona, Tuesday, April 12, 2011, Quarter-finals
Barcelona, 5, 1, Shakhtar Donetsk, Wednesday, April 6, 2011, Quarter-finals
Chelsea, 0, 1, Manchester United, Wednesday, April 6, 2011, Quarter-finals
Internazionale, 2, 5, Schalke 04, Tuesday, April 5, 2011, Quarter-finals
Real Madrid, 4, 0, Tottenham Hotspur, Tuesday, April 5, 2011, Quarter-finals
Chelsea, 0, 0, FC Copenhagen, Wednesday, March 16, 2011, Round of 16
Real Madrid, 3, 0, Lyon, Wednesday, March 16, 2011, Round of 16
Bayern Munich, 2, 3, Internazionale, Tuesday, March 15, 2011, Round of 16
Manchester United, 2, 1, Marseille, Tuesday, March 15, 2011, Round of 16
Schalke 04, 3, 1, Valencia, Wednesday, March 9, 2011, Round of 16
Tottenham Hotspur, 0, 0, AC Milan, Wednesday, March 9, 2011, Round of 16
Barcelona, 3, 1, Arsenal, Tuesday, March 8, 2011, Round of 16
Shakhtar Donetsk, 3, 0, AS Roma, Tuesday, March 8, 2011, Round of 16
Internazionale, 0, 1, Bayern Munich, Wednesday, February 23, 2011, Round of 16
Marseille, 0, 0, Manchester United, Wednesday, February 23, 2011, Round of 16
FC Copenhagen, 0, 2, Chelsea, Tuesday, February 22, 2011, Round of 16
Lyon, 1, 1, Real Madrid, Tuesday, February 22, 2011, Round of 16
Arsenal, 2, 1, Barcelona, Wednesday, February 16, 2011, Round of 16
AS Roma, 2, 3, Shakhtar Donetsk, Wednesday, February 16, 2011, Round of 16
AC Milan, 0, 1, Tottenham Hotspur, Tuesday, February 15, 2011, Round of 16
Valencia, 1, 1, Schalke 04, Tuesday, February 15, 2011, Round of 16
Bayern Munich, 3, 0, FC Basel, Wednesday, December 8, 2010, Group E
CFR Cluj-Napoca, 1, 1, AS Roma, Wednesday, December 8, 2010, Group E
Marseille, 1, 0, Chelsea, Wednesday, December 8, 2010, Group F
MSK Zilina, 1, 2, Spartak Moscow, Wednesday, December 8, 2010, Group F
AC Milan, 0, 2, Ajax Amsterdam, Wednesday, December 8, 2010, Group G
Real Madrid, 4, 0, AJ Auxerre, Wednesday, December 8, 2010, Group G
Arsenal, 3, 1, Partizan Belgrade, Wednesday, December 8, 2010, Group H
Shakhtar Donetsk, 2, 0, Braga, Wednesday, December 8, 2010, Group H
Twente Enschede, 3, 3, Tottenham Hotspur, Tuesday, December 7, 2010, Group A
Werder Bremen, 3, 0, Internazionale, Tuesday, December 7, 2010, Group A
Benfica, 1, 2, Schalke 04, Tuesday, December 7, 2010, Group B
Lyon, 2, 2, Hapoel Tel Aviv, Tuesday, December 7, 2010, Group B
Bursaspor, 1, 1, Rangers, Tuesday, December 7, 2010, Group C
Manchester United, 1, 1, Valencia, Tuesday, December 7, 2010, Group C
Barcelona, 2, 0, FK Rubin Kazan, Tuesday, December 7, 2010, Group D
FC Copenhagen, 3, 1, Panathinaikos, Tuesday, December 7, 2010, Group D
Internazionale, 1, 0, Twente Enschede, Wednesday, November 24, 2010, Group A
Tottenham Hotspur, 3, 0, Werder Bremen, Wednesday, November 24, 2010, Group A
Hapoel Tel Aviv, 3, 0, Benfica, Wednesday, November 24, 2010, Group B
Schalke 04, 3, 0, Lyon, Wednesday, November 24, 2010, Group B
Rangers, 0, 1, Manchester United, Wednesday, November 24, 2010, Group C
Valencia, 6, 1, Bursaspor, Wednesday, November 24, 2010, Group C
FK Rubin Kazan, 1, 0, FC Copenhagen, Wednesday, November 24, 2010, Group D
Panathinaikos, 0, 3, Barcelona, Wednesday, November 24, 2010, Group D
AS Roma, 3, 2, Bayern Munich, Tuesday, November 23, 2010, Group E
FC Basel, 1, 0, CFR Cluj-Napoca, Tuesday, November 23, 2010, Group E
Spartak Moscow, 0, 3, Marseille, Tuesday, November 23, 2010, Group F
Chelsea, 2, 1, MSK Zilina, Tuesday, November 23, 2010, Group F
AJ Auxerre, 0, 2, AC Milan, Tuesday, November 23, 2010, Group G
Ajax Amsterdam, 0, 4, Real Madrid, Tuesday, November 23, 2010, Group G
Braga, 2, 0, Arsenal, Tuesday, November 23, 2010, Group H
Partizan Belgrade, 0, 3, Shakhtar Donetsk, Tuesday, November 23, 2010, Group H
CFR Cluj-Napoca, 0, 4, Bayern Munich, Wednesday, November 3, 2010, Group E
FC Basel, 2, 3, AS Roma, Wednesday, November 3, 2010, Group E
Chelsea, 4, 1, Spartak Moscow, Wednesday, November 3, 2010, Group F
