home,homescore,awayscore,away,date,group
Borussia Dortmund,1,2,Zenit St Petersburg,"Wednesday, March 19, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
Manchester United,3,0,Olympiakos,"Wednesday, March 19, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
Chelsea,2,0,Galatasaray,"Tuesday, March 18, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
Real Madrid,3,1,Schalke 04,"Tuesday, March 18, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
Barcelona,2,1,Manchester City,"Wednesday, March 12, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
Paris Saint-Germain ,2,1,Bayer Leverkusen,"Wednesday, March 12, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
Atletico Madrid,4,1,AC Milan,"Tuesday, March 11, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
Bayern Munich,1,1,Arsenal,"Tuesday, March 11, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
Galatasaray,1,1,Chelsea,"Wednesday, February 26, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
Schalke 04,1,6,Real Madrid,"Wednesday, February 26, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
Zenit St Petersburg,2,4,Borussia Dortmund,"Tuesday, February 25, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
Olympiakos,2,0,Manchester United,"Tuesday, February 25, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
AC Milan,0,1,Atletico Madrid,"Wednesday, February 19, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
Arsenal,0,2,Bayern Munich,"Wednesday, February 19, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
Bayer Leverkusen,0,4,Paris Saint-Germain ,"Tuesday, February 18, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
Manchester City,0,2,Barcelona,"Tuesday, February 18, 2014","UEFA CHAMPIONS LEAGUE - ROUND OF 16"
Galatasaray,1,0,Juventus,"Wednesday, December 11, 2013","UEFA CHAMPIONS LEAGUE - GROUP B"
Chelsea,1,0,Steaua Bucuresti,"Wednesday, December 11, 2013","UEFA CHAMPIONS LEAGUE - GROUP E"
Schalke 04,2,0,FC Basel,"Wednesday, December 11, 2013","UEFA CHAMPIONS LEAGUE - GROUP E"
Marseille,1,2,Borussia Dortmund,"Wednesday, December 11, 2013","UEFA CHAMPIONS LEAGUE - GROUP F"
Napoli,2,0,Arsenal,"Wednesday, December 11, 2013","UEFA CHAMPIONS LEAGUE - GROUP F"
Atletico Madrid,2,0,FC Porto,"Wednesday, December 11, 2013","UEFA CHAMPIONS LEAGUE - GROUP G"
Austria Vienna,4,1,Zenit St Petersburg,"Wednesday, December 11, 2013","UEFA CHAMPIONS LEAGUE - GROUP G"
AC Milan,0,0,Ajax Amsterdam,"Wednesday, December 11, 2013","UEFA CHAMPIONS LEAGUE - GROUP H"
Barcelona,6,1,Celtic,"Wednesday, December 11, 2013","UEFA CHAMPIONS LEAGUE - GROUP H"
Manchester United,1,0,Shakhtar Donetsk,"Tuesday, December 10, 2013","UEFA CHAMPIONS LEAGUE - GROUP A"
Real Sociedad,0,1,Bayer Leverkusen,"Tuesday, December 10, 2013","UEFA CHAMPIONS LEAGUE - GROUP A"
FC Copenhagen,0,2,Real Madrid,"Tuesday, December 10, 2013","UEFA CHAMPIONS LEAGUE - GROUP B"
Benfica,2,1,Paris Saint-Germain ,"Tuesday, December 10, 2013","UEFA CHAMPIONS LEAGUE - GROUP C"
Olympiakos,3,1,Anderlecht,"Tuesday, December 10, 2013","UEFA CHAMPIONS LEAGUE - GROUP C"
Bayern Munich,2,3,Manchester City,"Tuesday, December 10, 2013","UEFA CHAMPIONS LEAGUE - GROUP D"
Viktoria Plzen,2,1,CSKA Moscow,"Tuesday, December 10, 2013","UEFA CHAMPIONS LEAGUE - GROUP D"
Bayer Leverkusen,0,5,Manchester United,"Wednesday, November 27, 2013","UEFA CHAMPIONS LEAGUE - GROUP A"
Shakhtar Donetsk,4,0,Real Sociedad,"Wednesday, November 27, 2013","UEFA CHAMPIONS LEAGUE - GROUP A"
Juventus,3,1,FC Copenhagen,"Wednesday, November 27, 2013","UEFA CHAMPIONS LEAGUE - GROUP B"
Real Madrid,4,1,Galatasaray,"Wednesday, November 27, 2013","UEFA CHAMPIONS LEAGUE - GROUP B"
Anderlecht,2,3,Benfica,"Wednesday, November 27, 2013","UEFA CHAMPIONS LEAGUE - GROUP C"
Paris Saint-Germain ,2,1,Olympiakos,"Wednesday, November 27, 2013","UEFA CHAMPIONS LEAGUE - GROUP C"
CSKA Moscow,1,3,Bayern Munich,"Wednesday, November 27, 2013","UEFA CHAMPIONS LEAGUE - GROUP D"
Manchester City,4,2,Viktoria Plzen,"Wednesday, November 27, 2013","UEFA CHAMPIONS LEAGUE - GROUP D"
FC Basel,1,0,Chelsea,"Tuesday, November 26, 2013","UEFA CHAMPIONS LEAGUE - GROUP E"
Steaua Bucuresti,0,0,Schalke 04,"Tuesday, November 26, 2013","UEFA CHAMPIONS LEAGUE - GROUP E"
Arsenal,2,0,Marseille,"Tuesday, November 26, 2013","UEFA CHAMPIONS LEAGUE - GROUP F"
Borussia Dortmund,3,1,Napoli,"Tuesday, November 26, 2013","UEFA CHAMPIONS LEAGUE - GROUP F"
Zenit St Petersburg,1,1,Atletico Madrid,"Tuesday, November 26, 2013","UEFA CHAMPIONS LEAGUE - GROUP G"
FC Porto,1,1,Austria Vienna,"Tuesday, November 26, 2013","UEFA CHAMPIONS LEAGUE - GROUP G"
Ajax Amsterdam,2,1,Barcelona,"Tuesday, November 26, 2013","UEFA CHAMPIONS LEAGUE - GROUP H"
Celtic,0,3,AC Milan,"Tuesday, November 26, 2013","UEFA CHAMPIONS LEAGUE - GROUP H"
Chelsea,3,0,Schalke 04,"Wednesday, November 6, 2013","UEFA CHAMPIONS LEAGUE - GROUP E"
FC Basel,1,1,Steaua Bucuresti,"Wednesday, November 6, 2013","UEFA CHAMPIONS LEAGUE - GROUP E"
Borussia Dortmund,0,1,Arsenal,"Wednesday, November 6, 2013","UEFA CHAMPIONS LEAGUE - GROUP F"
Napoli,3,2,Marseille,"Wednesday, November 6, 2013","UEFA CHAMPIONS LEAGUE - GROUP F"
Zenit St Petersburg,1,1,FC Porto,"Wednesday, November 6, 2013","UEFA CHAMPIONS LEAGUE - GROUP G"
Atletico Madrid,4,0,Austria Vienna,"Wednesday, November 6, 2013","UEFA CHAMPIONS LEAGUE - GROUP G"
Ajax Amsterdam,1,0,Celtic,"Wednesday, November 6, 2013","UEFA CHAMPIONS LEAGUE - GROUP H"
Barcelona,3,1,AC Milan,"Wednesday, November 6, 2013","UEFA CHAMPIONS LEAGUE - GROUP H"
Real Sociedad,0,0,Manchester United,"Tuesday, November 5, 2013","UEFA CHAMPIONS LEAGUE - GROUP A"
Shakhtar Donetsk,0,0,Bayer Leverkusen,"Tuesday, November 5, 2013","UEFA CHAMPIONS LEAGUE - GROUP A"
FC Copenhagen,1,0,Galatasaray,"Tuesday, November 5, 2013","UEFA CHAMPIONS LEAGUE - GROUP B"
Juventus,2,2,Real Madrid,"Tuesday, November 5, 2013","UEFA CHAMPIONS LEAGUE - GROUP B"
Olympiakos,1,0,Benfica,"Tuesday, November 5, 2013","UEFA CHAMPIONS LEAGUE - GROUP C"
Paris Saint-Germain ,1,1,Anderlecht,"Tuesday, November 5, 2013","UEFA CHAMPIONS LEAGUE - GROUP C"
Manchester City,5,2,CSKA Moscow,"Tuesday, November 5, 2013","UEFA CHAMPIONS LEAGUE - GROUP D"
Viktoria Plzen,0,1,Bayern Munich,"Tuesday, November 5, 2013","UEFA CHAMPIONS LEAGUE - GROUP D"
Bayer Leverkusen,4,0,Shakhtar Donetsk,"Wednesday, October 23, 2013","UEFA CHAMPIONS LEAGUE - GROUP A"
Manchester United,1,0,Real Sociedad,"Wednesday, October 23, 2013","UEFA CHAMPIONS LEAGUE - GROUP A"
Galatasaray,3,1,FC Copenhagen,"Wednesday, October 23, 2013","UEFA CHAMPIONS LEAGUE - GROUP B"
Real Madrid,2,1,Juventus,"Wednesday, October 23, 2013","UEFA CHAMPIONS LEAGUE - GROUP B"
Anderlecht,0,5,Paris Saint-Germain ,"Wednesday, October 23, 2013","UEFA CHAMPIONS LEAGUE - GROUP C"
Benfica,1,1,Olympiakos,"Wednesday, October 23, 2013","UEFA CHAMPIONS LEAGUE - GROUP C"
CSKA Moscow,1,2,Manchester City,"Wednesday, October 23, 2013","UEFA CHAMPIONS LEAGUE - GROUP D"
Bayern Munich,5,0,Viktoria Plzen,"Wednesday, October 23, 2013","UEFA CHAMPIONS LEAGUE - GROUP D"
Schalke 04,0,3,Chelsea,"Tuesday, October 22, 2013","UEFA CHAMPIONS LEAGUE - GROUP E"
Steaua Bucuresti,1,1,FC Basel,"Tuesday, October 22, 2013","UEFA CHAMPIONS LEAGUE - GROUP E"
Arsenal,1,2,Borussia Dortmund,"Tuesday, October 22, 2013","UEFA CHAMPIONS LEAGUE - GROUP F"
Marseille,1,2,Napoli,"Tuesday, October 22, 2013","UEFA CHAMPIONS LEAGUE - GROUP F"
Austria Vienna,0,3,Atletico Madrid,"Tuesday, October 22, 2013","UEFA CHAMPIONS LEAGUE - GROUP G"
FC Porto,0,1,Zenit St Petersburg,"Tuesday, October 22, 2013","UEFA CHAMPIONS LEAGUE - GROUP G"
AC Milan,1,1,Barcelona,"Tuesday, October 22, 2013","UEFA CHAMPIONS LEAGUE - GROUP H"
Celtic,2,1,Ajax Amsterdam,"Tuesday, October 22, 2013","UEFA CHAMPIONS LEAGUE - GROUP H"
