home,homescore,awayscore,away,date,location
Ajax Amsterdam,0,0,Twente Enschede,"Sunday, May 18, 2008","Amsterdam ArenA (44,500)"
NAC Breda,0,1,NEC Nijmegen,"Sunday, May 18, 2008","Fujifilm  (6,430)"
ADO Den Haag,2,1,RKC Waalwijk,"Sunday, May 18, 2008","Het Zuiderpark "
NEC Nijmegen,6,0,NAC Breda,"Thursday, May 15, 2008","De Goffert (11,500)"
RKC Waalwijk,2,2,ADO Den Haag,"Thursday, May 15, 2008","Sportp. Olympia/Mandemakers Stadion "
De Graafschap,0,0,PEC Zwolle,"Thursday, May 15, 2008","De Vijverberg "
NAC Breda,2,2,Heerenveen,"Monday, May 12, 2008","Fujifilm  (9,150)"
FC Groningen,1,3,NEC Nijmegen,"Sunday, May 11, 2008","Euroborg (17,381)"
ADO Den Haag,1,1,RKC Waalwijk,"Sunday, May 11, 2008","Het Zuiderpark "
PEC Zwolle,1,3,De Graafschap,"Sunday, May 11, 2008","Oosterenk Stadion "
Twente Enschede,2,1,Ajax Amsterdam,"Saturday, May 10, 2008","Arke Stadion (8,000)"
Heerenveen,2,0,NAC Breda,"Thursday, May 8, 2008","Abe Lenstra Stadion (20,000)"
NEC Nijmegen,1,0,FC Groningen,"Thursday, May 8, 2008","De Goffert (8,250)"
PEC Zwolle,1,0,FC Den Bosch,"Wednesday, May 7, 2008","Oosterenk Stadion "
RKC Waalwijk,4,0,MVV Maastricht,"Wednesday, May 7, 2008","Sportp. Olympia/Mandemakers Stadion "
ADO Den Haag,2,0,VVV Venlo,"Wednesday, May 7, 2008","Het Zuiderpark "
Ajax Amsterdam,3,1,Heerenveen,"Monday, May 5, 2008","Amsterdam ArenA (49,144)"
FC Groningen,3,1,FC Utrecht,"Sunday, May 4, 2008","Euroborg (17,175)"
NEC Nijmegen,2,0,Roda JC Kerkrade,"Sunday, May 4, 2008","De Goffert (7,500)"
De Graafschap,3,1,Helmond Sport,"Sunday, May 4, 2008","De Vijverberg "
FC Den Bosch,1,2,PEC Zwolle,"Sunday, May 4, 2008","Ecco Stadion "
RKC Waalwijk,2,0,MVV Maastricht,"Sunday, May 4, 2008","Sportp. Olympia/Mandemakers Stadion "
VVV Venlo,1,0,ADO Den Haag,"Sunday, May 4, 2008","De Koel "
NAC Breda,1,5,Twente Enschede,"Saturday, May 3, 2008","Fujifilm  (12,400)"
Heerenveen,1,2,Ajax Amsterdam,"Thursday, May 1, 2008","Abe Lenstra Stadion (25,000)"
FC Utrecht,2,2,FC Groningen,"Thursday, May 1, 2008","Nieuwe Galgenwaard (50,000)"
Roda JC Kerkrade,0,1,NEC Nijmegen,"Thursday, May 1, 2008","Parkstad Limburg Stadion (11,000)"
ADO Den Haag,1,0,VVV Venlo,"Thursday, May 1, 2008","Het Zuiderpark "
Helmond Sport,2,3,De Graafschap,"Thursday, May 1, 2008","Stadion de Braak "
MVV Maastricht,1,0,RKC Waalwijk,"Thursday, May 1, 2008","De Geusselt "
PEC Zwolle,0,1,FC Den Bosch,"Thursday, May 1, 2008","Oosterenk Stadion "
Twente Enschede,3,0,NAC Breda,"Tuesday, April 29, 2008","Arke Stadion (7,000)"
Ajax Amsterdam,5,1,SC Heracles Almelo,"Sunday, April 20, 2008","Amsterdam ArenA (50,139)"
AZ Alkmaar,1,0,Sparta Rotterdam,"Sunday, April 20, 2008","DSB Stadion (16,653)"
FC Utrecht,1,0,FC Groningen,"Sunday, April 20, 2008","Nieuwe Galgenwaard (22,534)"
