home, homescore, awayscore, away, date, stage
FC Porto, 1, 0, Braga, "Wednesday, May 18, 2011", "Final"
Braga, 1, 0, Benfica, "Thursday, May 5, 2011", "Semi-finals"
Villarreal, 3, 2, FC Porto, "Thursday, May 5, 2011", "Semi-finals"
Benfica, 2, 1, Braga, "Thursday, April 28, 2011", "Semi-finals"
FC Porto, 5, 1, Villarreal, "Thursday, April 28, 2011", "Semi-finals"
Spartak Moscow, 2, 5, FC Porto, "Thursday, April 14, 2011", "Quarter-finals"
Braga, 0, 0, Dynamo Kiev, "Thursday, April 14, 2011", "Quarter-finals"
PSV Eindhoven, 2, 2, Benfica, "Thursday, April 14, 2011", "Quarter-finals"
Twente Enschede, 1, 3, Villarreal, "Thursday, April 14, 2011", "Quarter-finals"
Benfica, 4, 1, PSV Eindhoven, "Thursday, April 7, 2011", "Quarter-finals"
Dynamo Kiev, 1, 1, Braga, "Thursday, April 7, 2011", "Quarter-finals"
FC Porto, 5, 1, Spartak Moscow, "Thursday, April 7, 2011", "Quarter-finals"
Villarreal, 5, 1, Twente Enschede, "Thursday, April 7, 2011", "Quarter-finals"
Manchester City, 1, 0, Dynamo Kiev, "Thursday, March 17, 2011", "Third Round"
Paris Saint-Germain , 1, 1, Benfica, "Thursday, March 17, 2011", "Third Round"
Spartak Moscow, 3, 0, Ajax Amsterdam, "Thursday, March 17, 2011", "Third Round"
Zenit St Petersburg, 2, 0, Twente Enschede, "Thursday, March 17, 2011", "Third Round"
FC Porto, 2, 1, CSKA Moscow, "Thursday, March 17, 2011", "Third Round"
Liverpool, 0, 0, Braga, "Thursday, March 17, 2011", "Third Round"
Rangers, 0, 1, PSV Eindhoven, "Thursday, March 17, 2011", "Third Round"
Villarreal, 2, 1, Bayer Leverkusen, "Thursday, March 17, 2011", "Third Round"
Bayer Leverkusen, 2, 3, Villarreal, "Thursday, March 10, 2011", "Third Round"
Braga, 1, 0, Liverpool, "Thursday, March 10, 2011", "Third Round"
CSKA Moscow, 0, 1, FC Porto, "Thursday, March 10, 2011", "Third Round"
