home,homescore,awayscore,away,date,group
FC Basel,0,0,SV Salzburg,"Thursday, March 13, 2014","Third Round"
FC Porto,1,0,Napoli,"Thursday, March 13, 2014","Third Round"
Ludogorets Razgrad,0,3,Valencia,"Thursday, March 13, 2014","Third Round"
AZ Alkmaar,1,0,Anzhi Makhachkala,"Thursday, March 13, 2014","Third Round"
Juventus,1,1,Fiorentina,"Thursday, March 13, 2014","Third Round"
Lyon,4,1,Viktoria Plzen,"Thursday, March 13, 2014","Third Round"
Sevilla FC,0,2,Real Betis,"Thursday, March 13, 2014","Third Round"
Tottenham Hotspur,1,3,Benfica,"Thursday, March 13, 2014","Third Round"
FK Rubin Kazan,0,2,Real Betis,"Thursday, February 27, 2014","Second Round"
Eintracht Frankfurt,3,3,FC Porto,"Thursday, February 27, 2014","Second Round"
FC Basel,3,0,Maccabi Tel-Aviv,"Thursday, February 27, 2014","Second Round"
Ludogorets Razgrad,3,3,Lazio,"Thursday, February 27, 2014","Second Round"
Napoli,3,1,Swansea City,"Thursday, February 27, 2014","Second Round"
Sevilla FC,2,1,NK Maribor,"Thursday, February 27, 2014","Second Round"
Shakhtar Donetsk,1,2,Viktoria Plzen,"Thursday, February 27, 2014","Second Round"
SV Salzburg,3,1,Ajax Amsterdam,"Thursday, February 27, 2014","Second Round"
AZ Alkmaar,1,1,Liberec,"Thursday, February 27, 2014","Second Round"
Benfica,3,0,PAOK Salonika,"Thursday, February 27, 2014","Second Round"
Fiorentina,1,1,Esbjerg,"Thursday, February 27, 2014","Second Round"
Lyon,1,0,Chornomorets,"Thursday, February 27, 2014","Second Round"
Racing Genk,0,2,Anzhi Makhachkala,"Thursday, February 27, 2014","Second Round"
Tottenham Hotspur,3,1,Dnipro Dnipropetrovsk,"Thursday, February 27, 2014","Second Round"
Trabzonspor,0,2,Juventus,"Thursday, February 27, 2014","Second Round"
Valencia,0,0,Dynamo Kiev,"Thursday, February 27, 2014","Second Round"
Anzhi Makhachkala,0,0,Racing Genk,"Thursday, February 20, 2014","Second Round"
Chornomorets,0,0,Lyon,"Thursday, February 20, 2014","Second Round"
Dnipro Dnipropetrovsk,1,0,Tottenham Hotspur,"Thursday, February 20, 2014","Second Round"
Dynamo Kiev,0,2,Valencia,"Thursday, February 20, 2014","Second Round"
Esbjerg,1,3,Fiorentina,"Thursday, February 20, 2014","Second Round"
Juventus,2,0,Trabzonspor,"Thursday, February 20, 2014","Second Round"
Liberec,0,1,AZ Alkmaar,"Thursday, February 20, 2014","Second Round"
PAOK Salonika,0,1,Benfica,"Thursday, February 20, 2014","Second Round"
Ajax Amsterdam,0,3,SV Salzburg,"Thursday, February 20, 2014","Second Round"
FC Porto,2,2,Eintracht Frankfurt,"Thursday, February 20, 2014","Second Round"
Lazio,0,1,Ludogorets Razgrad,"Thursday, February 20, 2014","Second Round"
