home, homescore, awayscore, away, date, group
Getafe, 1, 1, Real Betis, "Sunday, May 18, 2008", "Coliseum Alfonso Pérez (9,000)"
Mallorca, 3, 2, Real Zaragoza, "Sunday, May 18, 2008", "Iberostar Estadi (16,000)"
Racing Santander, 1, 0, Osasuna, "Sunday, May 18, 2008", "El Sardinero (20,000)"
Recreativo Huelva, 1, 1, Real Valladolid, "Sunday, May 18, 2008", "Nuevo Colombino (20,000)"
Valencia, 3, 1, Atletico Madrid, "Sunday, May 18, 2008", "Mestalla (20,000)"
Deportivo La Coruña, 0, 2, Villarreal, "Sunday, May 18, 2008", "Municipal de Riazor (30,100)"
Espanyol, 1, 3, Almeria, "Sunday, May 18, 2008", "Estadio Olimpico de Montjuic (9,004)"
Real Madrid, 5, 2, Levante, "Sunday, May 18, 2008", "Santiago Bernabéu (80,300)"
Sevilla FC, 4, 1, Athletic Bilbao, "Sunday, May 18, 2008", "Ramón Sánchez Pizjuán (42,000)"
Murcia, 3, 5, Barcelona, "Saturday, May 17, 2008", "Nueva Condomina (25,000)"
Almeria, 0, 2, Recreativo Huelva, "Sunday, May 11, 2008", "Juegos Mediterráneos (16,243)"
Athletic Bilbao, 0, 0, Racing Santander, "Sunday, May 11, 2008", "Antiguo San Mamés (30,500)"
Atletico Madrid, 1, 0, Deportivo La Coruña, "Sunday, May 11, 2008", "Vicente Calderón (55,000)"
Barcelona, 2, 3, Mallorca, "Sunday, May 11, 2008", "Camp Nou (65,000)"
Levante, 1, 5, Valencia, "Sunday, May 11, 2008", "Ciutat de València (13,418)"
Osasuna, 2, 1, Murcia, "Sunday, May 11, 2008", "El Sadar (19,500)"
Real Betis, 0, 2, Sevilla FC, "Sunday, May 11, 2008", "Benito Villamarín (45,000)"
Real Valladolid, 0, 0, Getafe, "Sunday, May 11, 2008", "José Zorrilla (20,736)"
Real Zaragoza, 2, 2, Real Madrid, "Sunday, May 11, 2008", "La Romareda (40,000)"
Villarreal, 2, 0, Espanyol, "Sunday, May 11, 2008", "El Madrigal (22,500)"
Espanyol, 0, 2, Atletico Madrid, "Thursday, May 8, 2008", "Estadio Olimpico de Montjuic (13,000)"
Deportivo La Coruña, 1, 0, Levante, "Wednesday, May 7, 2008", "Municipal de Riazor (12,000)"
Getafe, 4, 2, Almeria, "Wednesday, May 7, 2008", "Coliseum Alfonso Pérez (11,390)"
Mallorca, 2, 1, Osasuna, "Wednesday, May 7, 2008", "Iberostar Estadi (10,000)"
Murcia, 1, 2, Athletic Bilbao, "Wednesday, May 7, 2008", "Nueva Condomina (15,000)"
Racing Santander, 0, 3, Sevilla FC, "Wednesday, May 7, 2008", "El Sardinero (21,100)"
Real Betis, 1, 1, Real Valladolid, "Wednesday, May 7, 2008", "Benito Villamarín (42,000)"
Recreativo Huelva, 0, 2, Villarreal, "Wednesday, May 7, 2008", "Nuevo Colombino (14,000)"
Valencia, 1, 0, Real Zaragoza, "Wednesday, May 7, 2008", "Mestalla (45,000)"
Real Madrid, 4, 1, Barcelona, "Wednesday, May 7, 2008", "Santiago Bernabéu (80,000)"
Almeria, 1, 1, Real Betis, "Sunday, May 4, 2008", "Juegos Mediterráneos (18,000)"
Athletic Bilbao, 1, 2, Mallorca, "Sunday, May 4, 2008", "Antiguo San Mamés (38,000)"
Levante, 1, 1, Espanyol, "Sunday, May 4, 2008", "Ciutat de València (7,882)"
Racing Santander, 3, 2, Murcia, "Sunday, May 4, 2008", "El Sardinero (15,000)"
Sevilla FC, 2, 0, Real Valladolid, "Sunday, May 4, 2008", "Ramón Sánchez Pizjuán (38,000)"
Villarreal, 2, 0, Getafe, "Sunday, May 4, 2008", "El Madrigal (22,000)"
Barcelona, 6, 0, Valencia, "Sunday, May 4, 2008", "Camp Nou (57,000)"
Osasuna, 1, 2, Real Madrid, "Sunday, May 4, 2008", "El Sadar (40,000)"
Atletico Madrid, 3, 0, Recreativo Huelva, "Saturday, May 3, 2008", "Vicente Calderón (35,000)"
Real Zaragoza, 1, 0, Deportivo La Coruña, "Saturday, May 3, 2008", "La Romareda (31,000)"
Espanyol, 1, 1, Real Zaragoza, "Sunday, April 27, 2008", "Estadio Olimpico de Montjuic (18,000)"
Getafe, 1, 1, Atletico Madrid, "Sunday, April 27, 2008", "Coliseum Alfonso Pérez (13,000)"
Mallorca, 3, 1, Racing Santander, "Sunday, April 27, 2008", "Iberostar Estadi (14,000)"
Real Valladolid, 1, 0, Almeria, "Sunday, April 27, 2008", "José Zorrilla (18,000)"
Recreativo Huelva, 2, 0, Levante, "Sunday, April 27, 2008", "Nuevo Colombino (19,000)"
Valencia, 3, 0, Osasuna, "Sunday, April 27, 2008", "Mestalla (50,000)"
Real Betis, 0, 1, Villarreal, "Sunday, April 27, 2008", "Benito Villamarín (40,000)"
Real Madrid, 3, 0, Athletic Bilbao, "Sunday, April 27, 2008", "Santiago Bernabéu (80,000)"
Deportivo La Coruña, 2, 0, Barcelona, "Saturday, April 26, 2008", "Municipal de Riazor (30,000)"
Murcia, 0, 0, Sevilla FC, "Saturday, April 26, 2008", "Nueva Condomina (30,000)"
Levante, 3, 1, Getafe, "Sunday, April 20, 2008", "Ciutat de València (10,743)"
Murcia, 1, 4, Mallorca, "Sunday, April 20, 2008", "Nueva Condomina (31,150)"
Osasuna, 0, 1, Deportivo La Coruña, "Sunday, April 20, 2008", "El Sadar (19,800)"
Villarreal, 2, 0, Real Valladolid, "Sunday, April 20, 2008", "El Madrigal (20,000)"
Racing Santander, 0, 2, Real Madrid, "Sunday, April 20, 2008", "El Sardinero (20,000)"
Athletic Bilbao, 5, 1, Valencia, "Sunday, April 20, 2008", "Antiguo San Mamés (35,000)"
Atletico Madrid, 1, 3, Real Betis, "Saturday, April 19, 2008", "Vicente Calderón (30,000)"
