home, homescore, awayscore, away, date, group
Malaga, 1, 3, Barcelona, "Saturday, May 21, 2011", La Rosaleda (28,500)
Hercules, 0, 0, Sporting Gijon, "Saturday, May 21, 2011", JosÃ© Rico PÃ©rez (15,000)
Real Madrid, 8, 1, Almeria, "Saturday, May 21, 2011", Santiago BernabÃ©u (50,000)
Deportivo La CoruÃ±a, 0, 2, Valencia, "Saturday, May 21, 2011", Municipal de Riazor (34,000)
Espanyol, 2, 3, Sevilla FC, "Saturday, May 21, 2011", CornellÃ¡ - El Prat (25,000)
Levante, 1, 2, Real Zaragoza, "Saturday, May 21, 2011", Ciutat de Valencia (20,000)
Mallorca, 3, 4, Atletico Madrid, "Saturday, May 21, 2011", Iberostar Estadi (14,500)
Osasuna, 1, 0, Villarreal, "Saturday, May 21, 2011", Reyno de Navarra (19,500)
Racing Santander, 1, 2, Athletic Bilbao, "Saturday, May 21, 2011", El Sardinero (16,000)
Real Sociedad, 1, 1, Getafe, "Saturday, May 21, 2011", Anoeta (30,000)
Almeria, 3, 1, Mallorca, "Sunday, May 15, 2011", Juegos MediterrÃ¡neos (5,000)
Athletic Bilbao, 1, 1, Malaga, "Sunday, May 15, 2011", San MamÃ©s (38,500)
Atletico Madrid, 2, 1, Hercules, "Sunday, May 15, 2011", Vicente CalderÃ³n (45,000)
Barcelona, 0, 0, Deportivo La CoruÃ±a, "Sunday, May 15, 2011", Camp Nou (80,000)
Getafe, 2, 0, Osasuna, "Sunday, May 15, 2011", Coliseum Alfonso PÃ©rez (15,000)
Real Zaragoza, 1, 0, Espanyol, "Sunday, May 15, 2011", La Romareda (34,000)
Sevilla FC, 3, 1, Real Sociedad, "Sunday, May 15, 2011", RamÃ³n SÃ¡nchez PizjuÃ¡n (30,000)
Sporting Gijon, 2, 1, Racing Santander, "Sunday, May 15, 2011", El MolinÃ³n (30,000)
Valencia, 0, 0, Levante, "Sunday, May 15, 2011", Mestalla (35,000)
Villarreal, 1, 3, Real Madrid, "Sunday, May 15, 2011", El Madrigal (21,000)
Almeria, 0, 0, Villarreal, "Wednesday, May 11, 2011", Juegos MediterrÃ¡neos (5,000)
Levante, 1, 1, Barcelona, "Wednesday, May 11, 2011", Ciutat de Valencia (24,000)
Real Sociedad, 2, 1, Real Zaragoza, "Wednesday, May 11, 2011", Anoeta (28,000)
Espanyol, 2, 2, Valencia, "Wednesday, May 11, 2011", CornellÃ¡ - El Prat (22,000)
Hercules, 2, 2, Mallorca, "Wednesday, May 11, 2011", JosÃ© Rico PÃ©rez (18,000)
Osasuna, 3, 2, Sevilla FC, "Wednesday, May 11, 2011", Reyno de Navarra (17,000)
Deportivo La CoruÃ±a, 2, 1, Athletic Bilbao, "Tuesday, May 10, 2011", Municipal de Riazor (33,000)
Malaga, 2, 0, Sporting Gijon, "Tuesday, May 10, 2011", La Rosaleda (22,000)
Racing Santander, 2, 1, Atletico Madrid, "Tuesday, May 10, 2011", El Sardinero (18,000)
Real Madrid, 4, 0, Getafe, "Tuesday, May 10, 2011", Santiago BernabÃ©u (70,000)
Mallorca, 0, 0, Villarreal, "Sunday, May 8, 2011", Iberostar Estadi (17,500)
Barcelona, 2, 0, Espanyol, "Sunday, May 8, 2011", Camp Nou (91,000)
Real Zaragoza, 1, 3, Osasuna, "Sunday, May 8, 2011", La Romareda (30,000)
Athletic Bilbao, 3, 2, Levante, "Saturday, May 7, 2011", San MamÃ©s (36,000)
Getafe, 2, 0, Almeria, "Saturday, May 7, 2011", Coliseum Alfonso PÃ©rez (16,500)
Hercules, 2, 3, Racing Santander, "Saturday, May 7, 2011", JosÃ© Rico PÃ©rez (21,000)
Sporting Gijon, 2, 2, Deportivo La CoruÃ±a, "Saturday, May 7, 2011", El MolinÃ³n (22,000)
Valencia, 3, 0, Real Sociedad, "Saturday, May 7, 2011", Mestalla (44,000)
Atletico Madrid, 0, 3, Malaga, "Saturday, May 7, 2011", Vicente CalderÃ³n (50,500)
Sevilla FC, 2, 6, Real Madrid, "Saturday, May 7, 2011", RamÃ³n SÃ¡nchez PizjuÃ¡n (44,000)
Espanyol, 2, 1, Athletic Bilbao, "Monday, May 2, 2011", CornellÃ¡ - El Prat (35,000)
Almeria, 0, 1, Sevilla FC, "Sunday, May 1, 2011", Juegos MediterrÃ¡neos (12,000)
Levante, 0, 0, Sporting Gijon, "Sunday, May 1, 2011", Ciutat de Valencia (16,000)
Malaga, 3, 1, Hercules, "Sunday, May 1, 2011", La Rosaleda (27,000)
Racing Santander, 2, 0, Mallorca, "Sunday, May 1, 2011", El Sardinero (15,000)
Villarreal, 2, 1, Getafe, "Sunday, May 1, 2011", El Madrigal (19,500)
Osasuna, 1, 0, Valencia, "Sunday, May 1, 2011", Reyno de Navarra (18,000)
Real Madrid, 2, 3, Real Zaragoza, "Saturday, April 30, 2011", Santiago BernabÃ©u (75,000)
Real Sociedad, 2, 1, Barcelona, "Saturday, April 30, 2011", Anoeta (30,500)
Deportivo La CoruÃ±a, 0, 1, Atletico Madrid, "Saturday, April 30, 2011", Municipal de Riazor (29,000)
Real Zaragoza, 1, 0, Almeria, "Monday, April 25, 2011", La Romareda (29,500)
Hercules, 1, 0, Deportivo La CoruÃ±a, "Sunday, April 24, 2011", JosÃ© Rico PÃ©rez (21,000)
Mallorca, 2, 0, Getafe, "Sunday, April 24, 2011", Iberostar Estadi (15,000)
Racing Santander, 1, 2, Malaga, "Sunday, April 24, 2011", El Sardinero (18,000)
Sporting Gijon, 1, 0, Espanyol, "Sunday, April 24, 2011", El MolinÃ³n (22,500)
Atletico Madrid, 4, 1, Levante, "Sunday, April 24, 2011", Vicente CalderÃ³n (40,000)
