home,homescore,awayscore,away,date,location
Real Madrid,3,0,Celta Vigo,"Monday, January 6, 2014","Santiago Bernabeu (80,000)"
Rayo Vallecano,2,5,Villarreal,"Monday, January 6, 2014","Campo de Vallecas (8,000)"
Sevilla FC,3,0,Getafe,"Sunday, January 5, 2014","Estadio Ramon Sanchez Pizjuan (28,914)"
Barcelona,4,0,Elche,"Sunday, January 5, 2014","Camp Nou (85,000)"
Osasuna,1,0,Espanyol,"Sunday, January 5, 2014","El Sadar (11,725)"
Real Sociedad,2,0,Athletic Bilbao,"Sunday, January 5, 2014","Anoeta (32,076)"
Malaga,0,1,Atletico Madrid,"Saturday, January 4, 2014","La Rosaleda (30,000)"
Real Valladolid,0,0,Real Betis,"Saturday, January 4, 2014","Nuevo Jose Zorilla Stadium (14,178)"
Valencia,2,0,Levante,"Saturday, January 4, 2014","Mestalla (33,000)"
Almeria,3,0,Granada,"Saturday, January 4, 2014","Juegos Mediterraneos (11,200)"
Espanyol,4,2,Real Valladolid,"Sunday, December 22, 2013","Estadi Cornella-El Prat (19,000)"
Getafe,2,5,Barcelona,"Sunday, December 22, 2013","Coliseum Alfonso Perez (9,563)"
Athletic Bilbao,2,1,Rayo Vallecano,"Sunday, December 22, 2013","San Mames Barria (29,200)"
Celta Vigo,1,1,Osasuna,"Sunday, December 22, 2013","Balaidos (18,570)"
Valencia,2,3,Real Madrid,"Sunday, December 22, 2013","Mestalla (42,200)"
Villarreal,1,2,Sevilla FC,"Saturday, December 21, 2013","El Madrigal (20,000)"
Real Betis,0,1,Almeria,"Saturday, December 21, 2013","Benito Villamarin (32,000)"
Atletico Madrid,3,2,Levante,"Saturday, December 21, 2013","Vicente Calderon (49,000)"
Granada,1,3,Real Sociedad,"Saturday, December 21, 2013","Los Carmenes (11,500)"
Elche,0,1,Malaga,"Friday, December 20, 2013","Manuel Martinez Valero (17,000)"
Real Valladolid,3,0,Celta Vigo,"Monday, December 16, 2013","Nuevo Jose Zorilla Stadium (6,850)"
Almeria,0,0,Espanyol,"Sunday, December 15, 2013","Juegos Mediterraneos (15,000)"
Real Sociedad,5,1,Real Betis,"Sunday, December 15, 2013","Anoeta (22,000)"
Sevilla FC,1,1,Athletic Bilbao,"Sunday, December 15, 2013","Estadio Ramon Sanchez Pizjuan (31,456)"
Atletico Madrid,3,0,Valencia,"Sunday, December 15, 2013","Vicente Calderon (46,200)"
Osasuna,2,2,Real Madrid,"Saturday, December 14, 2013","El Sadar (14,863)"
Rayo Vallecano,0,2,Granada,"Saturday, December 14, 2013","Campo de Vallecas (10,800)"
Barcelona,2,1,Villarreal,"Saturday, December 14, 2013","Camp Nou (66,130)"
Malaga,1,0,Getafe,"Saturday, December 14, 2013","La Rosaleda (17,500)"
