home, homescore, awayscore, away, date, group
AC Ajaccio, 3, 1, St Etienne, "Saturday, May 13, 2006", "Francois-Coty  (4,000)"
AJ Auxerre, 4, 0, Strasbourg, "Saturday, May 13, 2006", "Abbe-Deschamps (10,000)"
AS Monaco, 2, 2, AS Nancy Lorraine, "Saturday, May 13, 2006", "Stade Louis II (4,271)"
Bordeaux, 1, 1, Marseille, "Saturday, May 13, 2006", "Parc Lescure (32,765)"
Lens, 3, 1, Nantes, "Saturday, May 13, 2006", "Felix-Bollaert  (36,868)"
Lyon, 8, 1, Le Mans, "Saturday, May 13, 2006", "Municipal De Gerland (44,410)"
Metz, 1, 0, Paris Saint-Germain , "Saturday, May 13, 2006", "Saint-Symphorien  (15,827)"
Stade Rennes, 2, 2, Lille, "Saturday, May 13, 2006", "Route de Lorient  (30,000)"
Toulouse, 1, 2, Sochaux, "Saturday, May 13, 2006", "Stadium Municipal (23,000)"
Troyes, 1, 2, Nice, "Saturday, May 13, 2006", "Stade l'Aube (18,013)"
AS Nancy Lorraine, 1, 3, AJ Auxerre, "Saturday, May 6, 2006", "Marcel-Picot (17,000)"
Le Mans, 0, 0, Lens, "Saturday, May 6, 2006", "Leon Bollee "
Lille, 4, 0, Lyon, "Saturday, May 6, 2006", "Lille Metropole "
Marseille, 2, 2, Strasbourg, "Saturday, May 6, 2006", "Velodrome (57,680)"
Nantes, 0, 1, Bordeaux, "Saturday, May 6, 2006", "La Beaujoire (37,000)"
Nice, 2, 1, Metz, "Saturday, May 6, 2006", "Municipal du Ray (13,000)"
Paris Saint-Germain , 2, 4, AC Ajaccio, "Saturday, May 6, 2006", "Parc de Princes "
Sochaux, 1, 1, Troyes, "Saturday, May 6, 2006", "Auguste-Bonal (13,977)"
St Etienne, 0, 0, Stade Rennes, "Saturday, May 6, 2006", "Geoffroy-Guichard (32,522)"
Toulouse, 3, 3, AS Monaco, "Saturday, May 6, 2006", "Stadium Municipal (20,158)"
AJ Auxerre, 1, 2, Marseille, "Wednesday, May 3, 2006", "Abbe-Deschamps (18,000)"
Stade Rennes, 1, 1, Paris Saint-Germain , "Wednesday, May 3, 2006", "Route de Lorient  (28,085)"
AC Ajaccio, 0, 3, Nice, "Sunday, April 30, 2006", "Francois-Coty  (2,000)"
AS Monaco, 1, 1, Nantes, "Sunday, April 30, 2006", "Stade Louis II (10,061)"
Bordeaux, 2, 2, Le Mans, "Sunday, April 30, 2006", "Parc Lescure (27,374)"
Metz, 0, 1, Sochaux, "Sunday, April 30, 2006", "Saint-Symphorien  (6,000)"
