home,homescore,awayscore,away,date,location
Paris Saint-Germain ,3,1,Nice,"Saturday, November 9, 2013","Parc des Princes (45,599)"
Bastia,1,0,Stade Rennes,"Saturday, November 9, 2013","Stade Armand-Cesari-Furiani "
Guingamp,0,0,Lille,"Saturday, November 9, 2013","Stade municipal de Roudourou "
Lorient,0,0,Stade de Reims,"Saturday, November 9, 2013","Stade du Moustoir "
Toulouse,1,1,AC Ajaccio,"Saturday, November 9, 2013","Stadium Municipal "
Valenciennes,1,1,Montpellier,"Saturday, November 9, 2013","Stade du Hainaut "
AS Monaco,1,1,Evian Thonon Gaillard,"Friday, November 8, 2013","Stade Louis II (6,507)"
Nice,1,2,Bordeaux,"Sunday, November 3, 2013","Municipal du Ray (27,511)"
Montpellier,1,1,Nantes,"Sunday, November 3, 2013","La Mosson (13,224)"
Lille,2,0,AS Monaco,"Sunday, November 3, 2013","Grand Stade Lille Metropole (43,880)"
Stade Rennes,1,1,Marseille,"Saturday, November 2, 2013","Route de Lorient  "
AC Ajaccio,1,3,Valenciennes,"Saturday, November 2, 2013","Francois-Coty  (5,789)"
Evian Thonon Gaillard,2,1,Toulouse,"Saturday, November 2, 2013","Parc des Sports (9,216)"
Lyon,2,0,Guingamp,"Saturday, November 2, 2013","Municipal De Gerland "
Sochaux,0,0,St Etienne,"Saturday, November 2, 2013","Auguste-Bonal (12,122)"
Stade de Reims,4,2,Bastia,"Saturday, November 2, 2013","Auguste Delaune (13,712)"
Paris Saint-Germain ,4,0,Lorient,"Friday, November 1, 2013","Parc des Princes (44,994)"
Bordeaux,2,0,Montpellier,"Sunday, October 27, 2013","Chaban-Delmas "
AS Monaco,2,1,Lyon,"Sunday, October 27, 2013","Stade Louis II (11,352)"
St Etienne,2,2,Paris Saint-Germain ,"Sunday, October 27, 2013","Geoffroy-Guichard (32,807)"
Marseille,2,3,Stade de Reims,"Saturday, October 26, 2013","Stade Velodrome (40,532)"
Bastia,1,0,Nice,"Saturday, October 26, 2013","Armand-Cesari-Furiani (14,607)"
Guingamp,2,1,AC Ajaccio,"Saturday, October 26, 2013","Du Roudourou (14,881)"
Lorient,2,1,Sochaux,"Saturday, October 26, 2013","Stade du Moustoir (15,093)"
Toulouse,0,5,Stade Rennes,"Saturday, October 26, 2013","Stadium Municipal (11,023)"
Valenciennes,0,1,Evian Thonon Gaillard,"Saturday, October 26, 2013","Stade Nungesser (13,370)"
Nantes,0,1,Lille,"Friday, October 25, 2013","La Beaujoire "
