home, homescore, awayscore, away, date, group
AC Milan, 4, 2, Brescia, "Sunday, May 16, 2004", "San Siro (80,000)"
Chievo Verona, 2, 1, Bologna, "Sunday, May 16, 2004", "Bentegodi (13,338)"
Empoli, 2, 3, Internazionale, "Sunday, May 16, 2004", "Carlo Castellani (11,000)"
Lazio, 2, 1, Modena, "Sunday, May 16, 2004", "Stadio Olimpico (50,000)"
Lecce, 2, 1, Reggina, "Sunday, May 16, 2004", "Via del Mare (16,125)"
Parma, 4, 3, Udinese, "Sunday, May 16, 2004", "Ennio Tardini (27,000)"
Perugia, 1, 0, Ancona, "Sunday, May 16, 2004", "Renato Curi (13,000)"
Sampdoria, 0, 0, AS Roma, "Sunday, May 16, 2004", "Luigi Ferraris (12,500)"
Siena, 1, 3, Juventus, "Sunday, May 16, 2004", "Artemio Franchi (13,500)"
Ancona, 2, 1, Empoli, "Sunday, May 9, 2004", "Del Conero (4,000)"
AS Roma, 1, 3, Perugia, "Sunday, May 9, 2004", "Olimpico (3,000)"
Bologna, 1, 1, Lecce, "Sunday, May 9, 2004", "Renato Dall'Ara (28,000)"
Brescia, 2, 1, Lazio, "Sunday, May 9, 2004", "Mario Rigamonti (20,000)"
Internazionale, 1, 0, Parma, "Sunday, May 9, 2004", "San Siro (75,000)"
Juventus, 2, 0, Sampdoria, "Sunday, May 9, 2004", "Delle Alpi (31,866)"
Modena, 1, 3, Siena, "Sunday, May 9, 2004", "Stadio Alberto Braglia (15,000)"
Reggina, 2, 1, AC Milan, "Sunday, May 9, 2004", "Stadio Granillo (28,000)"
Udinese, 1, 1, Chievo Verona, "Sunday, May 9, 2004", "Friuli (13,000)"
AC Milan, 1, 0, AS Roma, "Sunday, May 2, 2004", "San Siro (76,647)"
Chievo Verona, 2, 0, Modena, "Sunday, May 2, 2004", "Bentegodi (13,798)"
Empoli, 2, 0, Bologna, "Sunday, May 2, 2004", "Carlo Castellani (10,000)"
Lazio, 1, 1, Reggina, "Sunday, May 2, 2004", "Stadio Olimpico (46,000)"
Lecce, 2, 1, Internazionale, "Sunday, May 2, 2004", "Via del Mare (21,296)"
Parma, 3, 1, Ancona, "Sunday, May 2, 2004", "Ennio Tardini (11,500)"
Perugia, 1, 0, Juventus, "Sunday, May 2, 2004", "Renato Curi (15,000)"
Sampdoria, 1, 3, Udinese, "Sunday, May 2, 2004", "Luigi Ferraris (28,000)"
Siena, 0, 1, Brescia, "Sunday, May 2, 2004", "Artemio Franchi (11,000)"
Ancona, 0, 2, Chievo Verona, "Sunday, April 25, 2004", "Del Conero (5,000)"
AS Roma, 3, 0, Empoli, "Sunday, April 25, 2004", "Olimpico (15,000)"
Bologna, 3, 1, Siena, "Sunday, April 25, 2004", "Renato Dall'Ara (20,000)"
Brescia, 1, 1, Perugia, "Sunday, April 25, 2004", "Mario Rigamonti (10,000)"
Internazionale, 0, 0, Lazio, "Sunday, April 25, 2004", "San Siro (35,000)"
Juventus, 3, 4, Lecce, "Sunday, April 25, 2004", "Delle Alpi (20,000)"
Modena, 1, 0, Sampdoria, "Sunday, April 25, 2004", "Stadio Alberto Braglia (18,000)"
Reggina, 1, 1, Parma, "Sunday, April 25, 2004", "Stadio Granillo (20,000)"
Udinese, 0, 0, AC Milan, "Sunday, April 25, 2004", "Friuli (24,000)"
Lazio, 1, 1, AS Roma, "Wednesday, April 21, 2004", "Stadio Olimpico (44,000)"
Chievo Verona, 0, 0, Reggina, "Sunday, April 18, 2004", "Bentegodi (9,964)"
Empoli, 1, 1, Brescia, "Sunday, April 18, 2004", "Carlo Castellani (5,000)"
Internazionale, 4, 2, Bologna, "Sunday, April 18, 2004", "San Siro (40,000)"
Lazio, 4, 2, Ancona, "Sunday, April 18, 2004", "Stadio Olimpico (40,000)"
Parma, 2, 2, Juventus, "Sunday, April 18, 2004", "Ennio Tardini (26,678)"
Sampdoria, 3, 2, Perugia, "Sunday, April 18, 2004", "Luigi Ferraris (25,000)"
Modena, 0, 1, AS Roma, "Sunday, April 18, 2004", "Stadio Alberto Braglia (17,000)"
Siena, 1, 2, AC Milan, "Saturday, April 17, 2004", "Artemio Franchi (12,000)"
Lecce, 2, 1, Udinese, "Saturday, April 17, 2004", "Via del Mare (22,059)"
Perugia, 2, 3, Internazionale, "Sunday, April 11, 2004", "Renato Curi (13,000)"
AC Milan, 1, 0, Empoli, "Saturday, April 10, 2004", "San Siro (50,000)"
Ancona, 3, 2, Bologna, "Saturday, April 10, 2004", "Del Conero (11,000)"
AS Roma, 3, 1, Chievo Verona, "Saturday, April 10, 2004", "Olimpico (23,000)"
Brescia, 0, 0, Modena, "Saturday, April 10, 2004", "Mario Rigamonti (9,000)"
Parma, 3, 1, Lecce, "Saturday, April 10, 2004", "Ennio Tardini (24,000)"
Reggina, 0, 1, Udinese, "Saturday, April 10, 2004", "Stadio Granillo (25,000)"
Siena, 0, 0, Sampdoria, "Saturday, April 10, 2004", "Artemio Franchi (18,500)"
Juventus, 1, 0, Lazio, "Saturday, April 10, 2004", "Delle Alpi (31,190)"
Ancona, 0, 1, Sampdoria, "Sunday, April 4, 2004", "Del Conero (8,000)"
