home,homescore,awayscore,away,date,location
Aberdeen,2,0,Rangers,"Thursday, May 22, 2008","Pittodrie Stadium (17,509)"
Dundee United,0,1,Celtic,"Thursday, May 22, 2008","Tannadice Park (13,613)"
Hibernian,0,2,Motherwell,"Thursday, May 22, 2008","Easter Road Stadium (7,650)"
St Mirren,0,3,Rangers,"Monday, May 19, 2008","St Mirren Park (7,439)"
Motherwell,1,1,Rangers,"Saturday, May 17, 2008","Fir Park Stadium (10,445)"
Inverness Caledonian Thistle,0,0,St Mirren,"Saturday, May 17, 2008","Caledonian Stadium (3,783)"
Kilmarnock,2,1,Falkirk,"Saturday, May 17, 2008","Rugby Park (5,475)"
Gretna,1,0,Heart of Midlothian,"Tuesday, May 13, 2008","Fir Park (1,090)"
Celtic,2,0,Hibernian,"Sunday, May 11, 2008","Celtic Park (58,515)"
Rangers,3,1,Dundee United,"Saturday, May 10, 2008","Ibrox Stadium (30,293)"
Falkirk,2,1,Inverness Caledonian Thistle,"Saturday, May 10, 2008","Falkirk Stadium (5,631)"
Heart of Midlothian,0,2,Kilmarnock,"Saturday, May 10, 2008","Tynecastle Stadium (10,512)"
Motherwell,2,1,Aberdeen,"Saturday, May 10, 2008","Fir Park Stadium (8,574)"
St Mirren,0,0,Gretna,"Saturday, May 10, 2008","St Mirren Park (3,163)"
Rangers,1,0,Motherwell,"Wednesday, May 7, 2008","Ibrox Stadium (48,238)"
Falkirk,2,1,Heart of Midlothian,"Monday, May 5, 2008","Falkirk Stadium (4,638)"
Hibernian,0,0,Rangers,"Sunday, May 4, 2008","Easter Road Stadium (16,872)"
Motherwell,1,2,Celtic,"Saturday, May 3, 2008","Fir Park Stadium (9,158)"
Aberdeen,2,1,Dundee United,"Saturday, May 3, 2008","Pittodrie Stadium (10,312)"
Inverness Caledonian Thistle,6,1,Gretna,"Saturday, May 3, 2008","Caledonian Stadium (3,639)"
St Mirren,1,0,Kilmarnock,"Saturday, May 3, 2008","St Mirren Park (3,690)"
Celtic,3,2,Rangers,"Sunday, April 27, 2008","Celtic Park (58,662)"
Motherwell,2,2,Dundee United,"Saturday, April 26, 2008","Fir Park Stadium (5,027)"
Aberdeen,2,1,Hibernian,"Saturday, April 26, 2008","Pittodrie Stadium (8,387)"
Heart of Midlothian,1,0,Inverness Caledonian Thistle,"Saturday, April 26, 2008","Tynecastle Stadium "
Kilmarnock,1,1,Gretna,"Saturday, April 26, 2008","Rugby Park (4,086)"
St Mirren,1,0,Falkirk,"Saturday, April 26, 2008","St Mirren Park (3,500)"
Dundee United,1,1,Hibernian,"Sunday, April 20, 2008","Tannadice Park (7,404)"
Celtic,1,0,Aberdeen,"Saturday, April 19, 2008","Celtic Park (55,766)"
Falkirk,0,0,Gretna,"Saturday, April 19, 2008","Falkirk Stadium (4,490)"
Heart of Midlothian,3,2,St Mirren,"Saturday, April 19, 2008","Tynecastle Stadium (15,259)"
Inverness Caledonian Thistle,3,0,Kilmarnock,"Saturday, April 19, 2008","Caledonian Stadium (3,420)"
Celtic,2,1,Rangers,"Wednesday, April 16, 2008","Celtic Park (58,964)"
Motherwell,1,4,Celtic,"Sunday, April 13, 2008","Fir Park Stadium (9,771)"
Gretna,0,0,St Mirren,"Wednesday, April 9, 2008","Fir Park (7,031)"
Aberdeen,2,1,Falkirk,"Monday, April 7, 2008","Pittodrie Stadium (11,484)"
Dundee United,3,3,Rangers,"Sunday, April 6, 2008","Tannadice Park (11,214)"
Celtic,0,1,Motherwell,"Saturday, April 5, 2008","Celtic Park (58,624)"
Gretna,1,2,Inverness Caledonian Thistle,"Saturday, April 5, 2008","Fir Park Stadium (431)"
Hibernian,2,0,St Mirren,"Saturday, April 5, 2008","Easter Road Stadium (14,000)"
